Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
E 522	522	0	0		12 Jun 1827	12 Jun 1827	Lushington Speech	"Stephen Lushington lays before Eng Parliament Memorials from West Indies regarding rights and privileges of free people of colour, inc Hyde Memorial"	London					CO 123/38 [Lushington to ? 28 Oct 1827]	Bolland 75 187								
E 		0	0		1 Jan 1828	2 Jan 1828		"British Consul to Guatemala, O’Reilly, is assassinated by Consular staff"	Guatemala				Grenada Free Press II 116 p4 = 31 May 1828			See Charles Herring account in Newburyport Herald [Mass.] [sn] p2 = 22 Apr 1828 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A105F9E7C765DFFD0%40EANX-13497135C100F540%402388835-134936B0985CB990%401-137EA8C9B8171A1D%40British%2BConsul%2BMurderer							
E 523	523	0	0		1 Jul 1828	12 Jul 1828	Public Meeting responds to Lushington Speech	"Public Meeting, on Superintendent’s laying before the Lushington Speech, grant right to petition for rights and privileges to free people of colour"	Old					"CO 123/39 [Codd to Hay 12 Jul 1828]
MM G [3 Mar, 30 Jun, 3 Nov 1828]
R 5B [31 Mar 1828]
R 6A [12 Jul 1828]"	"Bolland 75 188
Burdon 3 298"	"3 Mar 1828 Pub Mtg. Makes legal extension of privileges to free person of colour on petition to committee of 13 white Members of Pub Mtg appointed by ballot. Reaffirms no person of colour to qualify for Pub Mtg or any office except by petition. /v Burdon 3 /MM G / First application on 30 Jun 1828, granted 3 Nov 1828 /MM G

31 Mar 1828 Lushington to Sec of State. Right of Election to the Magistracy. The free people of Colour enjoy the Elective Franchise, but in order to qualify them they must possess double the property of a White Elector. A White Elector must swear that he is worth £100; a Brown Elector £200. The Legislative [Pub] Meeting. The Assembly consists of 40, and free people of Colour are qualified to serve as Members; at the present time the Assembly consists of 28 Whites, and 12 free persons of Colour. A White person possessed of £250, a Brown of £500, British Subjects become Members without election by entering themselves and taking hte oath of allegiance. Offices of Honor and Trust. Magistrates and Jurors. From these the free people of Colour are wholly excluded. Militia. Free persons of Colour are not allowed to hold Commission during the War with Spain, and when the Colony was actually attacked they did hold Commssions, but upon a recent organization of that Corps they have been excluded. Court of Justice. The Supreme Criminal Court consists of Commissioners appointed by the King's commission under the 59 Geo: 3. They are in number 4 or more. The Civil Court consists of 7 Magistrates who are elected by the Inhabitants—and for them the free people vote: but no person of Colour has hitherto been nominated by the King's Commission to be a Judge of the Criminal Court, and they are considered to be disqualified to be elected Members of the Civil Court. ... For this exclusion from the Magistracy etc. there is no positive Law; it rests upon custom only. Honduras is essentially distinguished form Jamaica and the West India Islands in very important particulars. Nearly two thirds of the whole property at Honduras in Land, Slaves, and personalty belong to the free coloured class exclusive of the free blacks; they enjoy as I have already observed privileges unkown to their brethren in our other Colonies. And there is also this remarkable difference that at the Honduras all classes white and brown mix in society, where-as in Jamaica the brown race are wholly excluded. ... /v Burdon 3 298 /R 5B

c Jul 1828 Superintendent Codd lays Lushington's suggestions before Public Meeting, which far from lifting restrictions, merely grant right to petition for rights and privileges as individuals: ""A Law was passed ... declaratory that the Privileges and Immunities enjoyed by HM White Subjects should be Granted to persons of Color by going through the forms of Petition and Certificate of Character Honor and Probaty, that Education Long Residence and possession of Interest in the Country are the grounds on which they will obtain it. /v Bolland 75 /CO 123/39 [Codd to Hay 12 Jul 1828]"							
E 		0	0		3 Nov 1828	3 Nov 1828	Pub Mtg styled Legislative Assembly	Possibly first use of “Legislative Assembly” by Pub Mtg	Belize T					MM G [3 Nov 1828]	Burdon 2 303								
E 		0	0		1 Feb 1829	8 Feb 1829	Magistrates try to restrict Press	"Magistrates J. W. Wight and T. Pickstock attempt to forbid publication of an anonymous letter tending to bring act of Sup into contempt and ridicule, but on opposition from 3 Magistrates the latter runs in a Paper, after which Sup removes them from Bench, possibly marking first attempt at censorship of Press"	Belize T		"J. W. Wight, T. Pickstock"		"Saint Christopher Advertiser [Basse-Terre] XXII 1174 p3 = 26 May 1829
Port of Span Gazette IV 40 391 p3 = 20 Jun 1829"	"MM G [8, 10 Feb 1829]"	Burdon 2 305	"8 or 10 Feb 1829 Sup to Mags. Confirms censorship of critical letter by Mags, recounts exceeding surprise at opposition to censorship of letter by 3 Mags, and reports their removal from Bench and opening of Polls for their replacement /v Burdon 2 /MM G"							
E 		0	0		10 Feb 1829	27 Jan 1830	Home Gov restricts Pub Mtg	"Home Gov disallows a 5 pc tax on Transients imposed by Act of Pub Mtg, and thereafter requires all subjects for discussion be first submitted to Sup, and all Acts passed not be considered final until approved by HM Gov"	London					"R 7 [10 Feb, 30 Apr 1829]
R 6C [27 Jan 1830]"	Burdon 2 306	"10 Feb 1829 Sec of State to Sup. Stating his attention has been drawn to the 5% tax on Transients exacted on authority of document entitled ""Bill passed by Leg Ass of Hon."" Points out that had such Bill been passed by properly constituted Legislature of a WI Colony, would not have been assented to by [Home] Gov. States no Act affecting trade is permitted to be passed in Colonies unless with clause suspending operation until HM pleasure be known. Stating no right of Legislation is vested in Mags [Pub Mtg?], who are merely authorised to make Regulation affecting the internal affairs of the Settlement. Orders tax at once suspended, and money collected thereby refunded. States that in order not to derogate from Mag authority, they may be permitted to revoke the Act in any manner they consider suitable. /v Burdon 2 /R 7

See, eg, 24 Feb 1829 HCP 334. States that from establishment of Settlement and before British Gov gave it protection, Inhabitants formed an assamblage for enactment of laws, which remains in existence to the present, but since grant of protection it has been invariable custom to obtain sanction of HM Sup who has power to allow or disapprove such part as he deems fit. ... /v Burdon 2 306 /HCP 334

30 Apr 1829 Sec of State to Sup. Forwards letter from Hon Agent, which points out imposition of 5% duty on Transients is merely revival of custom long established in Colony and sanctioned by all previous Sup. Sec says regulation for duty of 5% on Transients has never receive Royal Assent, and is entirely opposed to present policy of HM Gov in matters of Commerce, and that duties previously imposed, as well as 5% on Transients, are disallowed. States that Leg Authority assumed by Sup and Mag [Pub Mtg?] rests on so questionable a basis that it must not be exercised except in cases of evident necessity, and cannot be extended beyong municipal and internal regulation. Directs all further regulations fm Sup or Mags be submitted to Col Office for information. /v Burdon 2 308 /R 7

27 Jan 1830 Sup to Sec of State. Reports he has, in accordance with instructions, directed that all subjects for discussion at Leg Ass [Pub Mtg]  must first be submitted to him, and that no enactment shall be considered as final till it has received HM approval. /v Burdon 2 318 /R 6C"							
E 		0	0		6 Jul 1829	6 Jul 1829	"Pub Mtg grants free press, extends membership"	"Public Meeting relinquishes control over printing establishment, and repeals earlier restriction on right of free persons of colour to sit as members"	Belize T					MM G [6 Jul 1829]	Burdon 2 310	"6 Dec 1825 Mag resolve to acquire printing press. /v Burdon 2 288 /MM F

3 Mar 1828 Pub Mtg. Affirms no person of colour to qualify for Pub Mtg or any office except by petition. /v Burdon 3 /MM G

See Hon Gazette intelligence in Commercial Advertiser [NYC] EVENING [sn] p2 = 7 May 1829 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1044E924036998A0%40EANX-130192D5019FB1F8%402389215-12FF4C03F38842C0%401-1311F0520237C7D8%40From%2BNew%2BOrleans / Evening Post 8378 p2 = 2 Jun 1829 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F2563DD7908%40EANX-13EA9C8C019B7020%402389241-13E89BA7F3D64768%401-13FA8906CE690E2C%40The%2BBritish%2BSettlement%2Bof%2BHonduras"							
E 		0	0		1 Jan 1830	30 Dec 1830	Hon remove Fr fm Roatan	"Sup of Hon removes a few destitute French settlers from Roatan, reportedly at their own request"	Roatan		Sup Cockburn			"FO 15/11 ff 132, 152–153"	Naylor 60 p374	In the following decade Roatan remained an insignificant settlement composed of a few British and French inhabitants. /v Naylor 60 p374							
E 		0	0		7 Jan 1830	7 Jan 1830	Home Gov introduced scheduled mail service	"Home Gov arranges for extension of packet communication wiht Settlement by directing British Mexican Packet to touch at Belize T monthly on Jamaica to Vera Cruz route, possibly marking first scheduled or non-merchant, non-naval mail service"	London					R 8B [7 Jan 1830]	Burdon 2 316								
E 		0	0		21 Jun 1830	21 Jun 1830	HM Gov authorises London loan	"HM Gov authorises Mags to raise a loan in London for Settlement, with some restrictions, possibly marking first loan raised outside Beilze"	London					R 7 [21 Jun 1830]	Burdon 2 323	"6 Apr 1830 Sup to Sec of State. Forwards and recommends application by Mags for a loan from HM Gov. Reports that the order to refund money collected from Transient Tax has been a very severe blow. States Mags ask permission to negotiate loan in London if HM Gov is unable to meet their wishes, proposes James Hyde, Treasurer, shall negotiate the matter. /v Burdon 2 321 /R 6C

21 Jun 1830 Sec of State to Sup. Informs HM Gov has no objection to raising of loan of £10,000 starling, but will not guarantee it, not permit it to be charged to existing taxation, but only to taxes raised expressly for that purpose. /v Burdon 2 323 /R 7

3 or 4 Nov 1830 Pub Mtg. Authorise Mags to raise loan of £5,000 Currency at interest not greater than 10%. Sup approves. /v Burdon 2 325 /LM A /R 6C [8 Nov 1830]"							
E 		0	0		9 Aug 1830	9 Aug 1830	"Sup tries to restrict Pub Mtg, Mag"	Superintendent recommends to HM Gov the abolition of Public Meeting [styled Legislative Assembly] and derogation or restriction of power of Magistrates to solely dispose of Public Funds without Superintendent’s interference	Belize T					R 6C [9 Aug 1830]	Burdon 2 324	"9 Aug 1830 Sup to Sec of State. Urges necessity of abolishing Leg Mtg [Pub Mtg], which now included 70 persons and showed signs of becoming even more unwieldy. States that those who have the least at stake are most talkative. Recommends modification of the power of disposal of Public Funds without control by the Sup, now exercised by Magistrates. /v Burdon 2 324 /R 6C

8 Nov 1830 Sup to Sec of State. Declares if Leg Mtg is not abolished public business of Settlemetn cannot be carried on. States fresh members admitted at every Meeting. Suggests, if not abolished altogether, should only be assembled and dismissed by Sup as occasion might require, and that Members should be liable to take oath of qualification at any time, as, though many are qualified when first admitted, they later cease to be. /v Burdon 2 325 /R 6C

9 Mar 1831 Sup to Sec of State. Reports disapproval of certain Resolutions at last Pub Mtg as improper and factious: repeating recommendation for abolition of Pub Mtg which if continued will change the loyal, quiet and useful Settlement into ""one of the most factious and turbulent"" of British possessions. /v Burdon 2 328 /R 6C

4 Jul 1832 Pub Mtg. Memorial to HM Gov complaining of inconvenience experienced by Public owing to members of Leg Ass [Pub Mtg] having been debarred by order early in 1830, the privilege of originating motions for discussion without first submitting same to the Executive for approval. ... /v Burdon 2 336 /LM A"							
E 524	524	0	0		5 Jul 1831	5 Jul 1831	Public Meeting grants rights and privileges	"Public Meeting passes ""Act to entitle all HM Coloured Subjects of Free Condition in this Settlement and their issue to the same Rights and Privileges with British Subjects born of White Parents."""	Old		Chairman William Gentle			"CO 123/42 [Minutes 4 Jul, 5 Jul 1831]
LM A [4, 5 Jul 1831]"	"Bolland 75 189
Burdon 2 330"	"Attempt, during debate, to extend same civil liberties to free blacks defeated /v Bolland 75 190 / Jews, lawyers etc still possibly barred from Hon

7 Jul 1831 Sup approves Pub Mtg proceedings of 4, 5 Jul 1831. /v Bolland 2 /R 8B"							
E 		0	0		4 Jul 1832	10 Dec 1832	HM Gov threatens Pub Mtg	"HM Gov charges Settlement with repairs of Newtown Barracks, which Pub Mtg agrees to, but thereafter HM Gov appoints Keeper of Records cum Clerk of Courts for Hon in England, which Pub Mtg protests, and discontinues funds to Barracks, on which HM Gov threaten to withdraw troops and subvert duty revenue, finally resolved by Pub Mtg in favour of HM Gov"	"London, Belize T"					"R 7 [29 Apr 1830]
R 6C [7 Aug 1830, 12 Jul 1832]
LM A [4 Jul 1832]
R 9B [1 May, 10 Oct 1832]
R 8B [10 Dec 1832]"	Burdon 2 322–342	"29 Apr 1830 Sec of State to Sup. States charges for repair of Barracks and Hospital must be borne by Settlement, on ground that garrison is kept solely for benefit of Settlers. Declare that if they declaine to make the necessary repair troops will be withdrawn. /v Burdon 2 322 /R 7

7 Aug 1830 Sup to Sec of State. Reports Leg Mtg of 5 Jul 1830 ill received instructions for funds to repair Barracts, that £500 Honduras Currency was grudgingly voted with message that such a demand would in future be refused. Reports that he refused to approve proceedings, and threatened to withdraw troops, whereupon £1,000 was voted. /v Burdon 2 324 /R 6C

1 May 1832 Sec to Sup. Reports appointment from England to vacant post of Keeper of Records. /v Burdon 2 335 /R 9B

4 Jul 1832 Pub Mtg. Memorial to HM GOv complaining of Pub Mtg being debarred of privilege of originating motions for discussion without first submitting same to Sup for approval. Violent speech by Chairman against appointment made in England and stating motive for innovation was to plant in ""our Councils a nest of hired and official anti-slavery spies."" Resolution passed protesting against appointment, stating that ""the Settlement in asserting its indisputable right to the appointment of its domestic officers as heretofore intends no disrespect to HM Gov."" /v Burdon 2 336 /LM A 

12 Jul 1832 Sup to Sec. Reports refusal by PUb Mtg to vote money for repair of Barracks, advises immediate withdrawal of Troops on ground that bldgs are too decayed and leaky to be habitable and are a danger to health. /v Burdon 2 337 /R 6C

10 Oct 1832 Sec to Sup. Emphasises fact that Constitution of Colony has no legal status whatever. States that if settlers refuse to vote money necessary to maintain health of troops, [HM] Gov will not hesitate to withdraw them. Declares that if such important charges are refused, the [HM] Gov will announce to all ship master that they need pay no duties to the Settlemetn whatever. /v Burdon 2 339 /R 9B

10 Dec 1832 Pub Mtg. Sup request vote of £4,000 or £5,000 for repairing Barracks. Mtg grants half that sum to be provided at present and £1,000 a year in addition for three years. /v Burdon 2 342 /R 8B"							
E 		0	0		15 Dec 1832	15 Dec 1832	HM Gov disallows Mag elections	"Superintendent, on HM Gov instructions, instructs Mags not to open poll for elections of incoming Mags, as Sup is to, on 31 Dec 1832 and thereafter, select Mags for 1833 under King's authority"	Belize T					"R 8B [15 Dec 1832]
R 2 [Young, McDonald, Coffin to Sup, Dec 1832]
R 6D [4 Jan 1833]"	Burdon 2 343	"Dec 1832 John Young, J. McDonald, W. H. Coffin accept Sup nomination to Magistracy /v Burdon 2 344 /R 2

4 Jan 1833 Sup to Sec. Reports publication of decision ""tha tthe King no longer recognises in the Settlers of Honduras the claim to appoint the subordinate officers of Justice by election of the Inhabitants a right not claimed or exercised by His Majesty's [Subjects] in any other part of His Dominions""; expresses belief that ""no event has been received with more sincere or general satisfaction in the Settlemetn."" /v Burdon 2 344 /R 6D

See, eg, 21 Mar 1833 Sec to Sup. States he considers it necessary to vindicate the Crown's right to fill appointments [Clerk of Court, Provost Marshal General] by selecting an English candidate [rather than Hon one]. /v Burdon 2 346 /R 9B

11 Oct 1833 Sec to Sup. Approves appointment of Mags instead of permitting their election, describes Mag election as an ""anomalous encroachment on the powers of the executive."" /v Burdon 2 349 /R 4B"							
E 526	526	0	0		1 Aug 1834	1 Aug 1834	Apprenticeship of former slaves	Newly-emancipated slaves are apprenticed per Act of Eng Parliament	Old					CO 123/45 [Cockburn to Lefevre 13 Aug 1834]	Bolland 75 164	"13 Aug 1834 Cockburn to Lefevre. The period which has elapsed since the 1st of August has been unattended here by any actual disturbance, tho certainly much dissatisfaction has been evinced on the part of the manumitted Slaves. They do not, nor can they be easily made to understand the obligations attached to their freedom. Their idea is that the King has made them free & therefore that the making them work for Six Years longer without pay is an act of injustice. I have seen a great number of them & endeavoured to explain to their comprehension the real state of the case. They do not dissent from what is told them - & they so far seem to comprehend it, that altho several had avowed a disinclinaiton to return to their work yet none have persevered in a refusal to do so. It is however quite evident that the Six Years apprenticeship has counterbalance in the estimation all the ulterior advantages held out to them by the Bill. They look to the present only & therefore finding that they are not ""to all intents & purposes set free & discharged form all manner of Slavery at once"" They neither feel benefitted or gratified at what has been done for them ... I cannot but feel some apprehension that rather than meet the Six Years apprenticeship they will avail themselves of the facility which attends their quitting the Settlement & proceeding to the neighbouring Republics. /v Bolland 75 164 /CO 123/45"							
		0	0		1 Jan 1836	30 Dec 1836	Eastern Coast Co. est	Marshall Bennett establishes the Eastern Coast of Central America Commercial and Agricultural Company	xxx		Marshall Bennett			xxx		"c mid-1836 Arrival of first shipload of British colonists /v Bethell v 3 485

Fm Hon. We have Hon Watchman to 14th [Jun 1851]. ... Mr. Wodenside, the new Sup in place of Col Fancourt, had arrived. It is thought that he will be popular with the people, as he seems to be a working man. It will require an excellent administration of affairs, however, to restore the settlement to its former prosperity, as some have already become disgusted with the existing state of affairs. One or two merchants have already left Belize [T] on this account. We learn that most of the mahogany in Belize is exhausted, and that the cutting establishments are going into Mos country and Sp Honduras to procure supplies. ... /Times-Picayune Evening [sn] p2 = 24 June 1851"							
E 		0	0		3 Mar 1836	3 Mar 1836	Mags recommend restriction of Pub Mtg	"Magistrates, appointed by Sup, complain of unbecoming conduct of Pub Mtgs, and applause accorded to censure of Mags, and recommend withdrawal of powers vested in Pub Mtg"	Belize T					MM J [3 Mar 1836]	Burdon 3 383	"7 Mar 1836 Sup to Sec. Forwards report of Pub Mtg of 29 Feb 1836, reports spirit of insubordination and language far more violent than is recorded, Magistrates being vehemently arraigned and a motion proposed and seconded for depriving them of management of Public Funds. /v Burdon 2 /R 6E

13 Jun 1836 Mtg Mags w Sup. Protest by Mags against motion, to be proposed in Pub Mtg by Mr. Kennedy, that a Committee be appointed to examine expenditure by Mags of Public Funds during past three years, on ground that it was intended as censure of Bench of Mags and Administration of Col Cockburn. Statement by Mags that they did not object to appointment of Committee provided accounts were taken out of their hands: that ""they were aware that Public had withdrawn its confidence from them since they were appointed by the Crown""; and ""that every publicity that could be desired was already given to the Public Expenditure"" in that ""the Treasurer's accounts were hung up in the Court House so that all might read them even accounts of contingencies."" Sup assures Mags he could not view matter in same light, it being a simple financial enquiry similar to that of Committees of Finance appointed by Houses of Assembly in other Colonies. /v Burdon 2 386 /R 2

5 Jul 1836 Pub Mtg. Appoints Committee to examine Public Accounts for three previous years. /v Burdon 2 387 /LM A / 31 Oct 1836 Pub Mtg. Report of Committee of Finance, states ""It does not appear to the Committee that a correct statement of affairs can be extracted from the Public Ledger, nor from the manner in which it is kept could the Public ever have had a clear Account of the Finances of this Settlement."" /v Burdon 2 389 /LM A"							
E 		0	0		15 Mar 1837	30 Mar 1837	Bull murder	Sp individuals murder Mr Bull	Caye Caulker	6 Sp men	"J. Lord, Miss Neil, R. Bull, 1 servant"		Commercial Advertiser [NYC] [sn] p1 = 29 Apr 1837			See Belize Herald 1 Apr 1837 account in Com. Ad. [sn] Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1044E924036998A0%40EANX-130685D073AE7FD0%402392129-13043D625DEF3D10%400-1326EDD0755FCAD3%40From%2BHonduras							
E 		0	0		1 Dec 1837	1 Jan 1838	Sup visits Mos Shore	"Sup visits Mosquito Shore in HMS Nimrod as demonstration of British friendliness, possibly marking first state visit to foreign country"	Belize T					R 14A [1 Jan 1838]	Burdon 2 396	"> 1836 Belize mahogany firms enter contracts with King of Mos for logging rights in Aguan River, contested by Rep of CA /v Naylor 60 p376"							
E 		0	0		7 Jul 1838	7 Jul 1838	Rep of CA recognises states	"Rep of CA declares constituents states are ""sovereign, free and independent political bodies"""	Guatemala						Bethell v 3 489								
E 528	528	0	0		9 Jul 1838	9 Jul 1838	Public Meeting ends Apprenticeship early	"Superintendent urges Public Meeting to agree to early end to Apprenticeship on 1 Aug 1838, which they accept, and further resolve on regulations to govern contracts between masters and servants"	Old					"CO 123/53 [Macdonald to Glenelg 20 Jun, 28 Aug 1838]
R 15 [2 Apr 1838]
LM B [9 Jul 1838]
R 14A [10 Aug 1838]"	"Bolland 75 232
Burdon 2 399"	"2 Apr 1838 Sec Circular. Advises Sup of strong feeling of English public opinion against Apprenticeship system; urges accomplish end as soon as possible with concurrence of Legislature. /v Burdon 2 399 /R 15

30 Jun 1838. In response to demand from Colonial Office that apprenticeship end before legal termination in 1840, Sup meets with ""proprietors of Praedial Apprentices"" and secures their approval for ""the complete, unrestricted and immediate emancipation of the Apprenticed Labourers from involuntary Servitude"" /v Bolland 75 234 /CO 123/53 [Macdonald to Glenelg 20 Jun 1838]"							
E 529	529	0	0		1 Aug 1838	1 Aug 1838	Apprenticeship of former slaves ends	Apprenticeship period of former slaves ends	Old					"CO 123/53 [Macdonald to Glenelg 10 Aug 1838]
R 15 [Glenelg Circular 15 Sep 1838 / Normanby to Macdonald 22 Apr 1839]
R 14 [Macdonald to Sec of State 9 Feb 1839]"	"Bolland 75 232, 240"								
E 		0	0		24 Aug 1838		HM Gov restricts Pub Mtg	HM Gov considers question of reforming ill devised system of Legislature in Hon	London					R 15 [24 Aug 1838]	Burdon 2 401	"6 Nov 1841 Sup to Sec. Reiterates opinion that it is not advisable to appoint a Representative Assembly, on grounds that no Council could be formed unless it represented every interest in Hon. /v Burdon 3 52 /R 19"							
E 		0	0		15 Apr 1839	15 Apr 1839	HM Gov restricts Militia	HM Gov directs that Militia not be allowed right of assembly or to continue under arms without express authority from Executive	Belize T					R 15 [15 Apr 1839]	Burdon 2 407								
E 		0	0		2 May 1839	16 Mar 1841	Imán revolt	"Santiago Imán leads revolt, with Maya forces, in favour of Yuc independence fm Mexican Rep"	Tizimin [Yuc]														
E 		0	0		1 Nov 1839		Walker–Caddy expedition	"Patrick Walker leads expedition to Maya ruins of Palenque, possibly marking first archaeological expedition from or by Belize"	Belize T		"Patrick Walker, Lt Caddy"		Belize Advertiser II 60 p3 = 16 Nov 1839	R 14A [9 Nov 1839]	Burdon 2 409	See Norman Hammond 1983 https://doi.org/10.1017/S0003598X00054946							
E 		0	0		12 Feb 1840	12 Feb 1840	Imán declaration		Valladolid														
E 		0	0		28 Jul 1840	28 Jul 1840	Executive Council est	HM Gov authorises appointment of Executive Council to assist Sup in administration	Belize T					R 18 [28 Jul 1840]	Burdon 2 410	"24 Dec 1839 Sec to Sup. Dissents from Sup’s recommendation that [Executive] Council to be formed, for administration of affairs and land [distribution] question, be of a mixed legislative and executive character superseding the Pub Mtg and relieving the Mags from administration and Pub Funds. /v Burdon 2 409 /R 15

28 Jul 1840 Sec to Sup. Conveys HM approval of appointment of Executive Council to assist Sup in administration of Honduras. / Sec to Gov of Jam. Directs him to issue warrants for Exec Council appts. /v Burdon 2 410 /R 18 / Exec Council formed by Gov of Jam warrants < 15 Feb 1841 /v Burdon 2 410 n1 /R 14"							
E 		0	0		2 Nov 1840	2 Nov 1840	Sup proclaims Common Law	"Superintendent proclaims supremacy of English Common Law in Hon, and proclaims all local customs, laws, regulations or enactments contrary to English Common Law null and void"	Belize T					R 20 [2 Nov 1840]	Burdon 2 411	"2 Nov 1840 Proclamation by Sup. WHEREAS much inconvenience has arisen from the imperfect state and undefined nature of the existing Laws and Customs of this SETTLEMENT; AND MOREOVER much dissatisfaction has been manifested by parties to Suits, as also by Jurors, that in the absence of local law and precedent, the natural application of the Law of England has not been had recourse to by the Courts; thereby depriving British Subjects of the benefit of those wise and wholesome laws which British Subjects are entitled to claim as their brithright within British Territory. I DO NOW THEREFORE by and with the Authority in me vested by HMGM Queen Victoria, the First, DECLARE and ORDAIN accordingly, that from the date hereof, the Law of England shall be the Law of this Settlement or Colony of British Honduras. AND I FURTHER DECLARE and ORDAIN in manner aforesaid, that from the date hereof, all Local Customs, Laws, Regulations, and Enactments whatsoever which are repugnant to the spirit of the Law of England and opposed to the principles of Equity and Justice are and shall be null and void. /v Burdon 2 411 /R 20"							
E 530	530	0	0		1 Feb 1841	28 Feb 1841	Rep of CA dissolves																
E 		0	0		2 Mar 1841	4 Jul 1842	Pub Mtg Petitions	"Public Meeting, in protest of assumption of legislative power and control of finances by Executive Council, and legislation by Proclamation, dissolves itself, and petitions Eng Parliament, Gov of Jam and Sup for relief, finally resolved in favour of Pub Mtg by HM Gov"	Belize T					"R 20 [2 Mar 1841]
LM B [22 Dec 1841]"	Burdon 3 50	"Possibly see Grenada Free Press XIII 720 p6 = 27 Nov 1839 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145FA089AAAC15D4%40EANACN-14E320B24D1428E8%402393071-14E1E4C5D7A6F268%400 / See Hon advices to 14 Mar 1841 in Commercial Advertiser XLIV [sn] p2 = 19 Apr 1841 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1044E924036998A0%40EANX-14066225A2261C78%402393580-1406053534D6D330%401-1416D468324DCBED%40From%2BBelize

2 Mar 1841 Pub Mtg. Regrets Exec Council have assumed Legislative powers and control of finance, and expresses surpise that Council purchased house under pretex of requiring Chamber. Petitions Eng Parliament in protest against action of Sup in legislating by Proclamation. Contains:—""That here, almost isolated from the civilized world, your Petitioners proudly claim as their own, the constitutino of Great Britain, fondly clinging to that constitution as the Palladium of their rights, and their shield from oppression. ...” /v Burdon 3 50 /R 20

22 Dec 1841 Pub Mtg. Memorial to Gov Jam complaining of Sup usurping powers of Mtg. Decided no public business be done by Mtg until answer received. /v Burdon 3 53 /LM B

23 Dec 1841 Pub Mtg Committee to Sup. Expresses extreme regret for certain statements, decisions and actions of Sup. /v Burdon 3 53 /R 17

12 Jan 1842 Sup to Sec. States Pub Mtg has of late fallen into perfect contempt, nearly all people of standing having withdrawn from it, and that all members of the community are anxious for some more satisfactory form of Government. States that Mtg has endeavoured to dissuade Mags form doing their duty, in order ot embarrass him. Sates, with reference to Mtg held 22 Dec 1841, that it met with almost universal disapproval: that the only good thing it did was to dissolve itself, and that it is the hope of everyone that it will never again be permitted to assemble. /v Burdon 3 54 /R 19

12 Mar 1842 Sup to Sec. States that in view of dissolution of Pub Mtg, has himself ordered renewal of taxes and duties. /v Burdon 3 55 /R 19

4 Jul 1842 Pub Mtg assembles in session /v Burdon 3 58 /LM B"							
E 531	531	0	0		16 Mar 1841	16 Mar 1841	2nd Rep of Yuc est									Possibly see Port of Spain Gazette XVI 11 1592 p2 = 5 Feb 1841 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145FA69CC5A1E635%40EANACN-14DF3051D358CDF8%402393507-14DE8CBE88DFD5D8%401-14DE8CBE88DFD5D8%40 / Port of Spain Gazette XVI 38 1619 p3 = 11 May 1841 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145FA69CC5A1E635%40EANACN-14DF3099DC47D288%402393602-14DE8CBF09E1C518%402-14DE8CBF09E1C518%40							
E 		0	0		21 Jan 1842	22 Jan 1842	Steamship route	"SS Solway docks at Hon, possibly marking first non-naval steamship to do so"	Belize T		SS Solway		Spectator [NYC] EVENING XLV [sn] p2 = 19 Feb 1842			"FM HON. -By the brig Moneca, Capt Gott, we have Belize (Hon) papers to the 22nd ultimo. The first of the West India lines of steamers, the Solway, arrived at B. on the 21st, and left the next morning for Havanna. BELIZE, Jan. 22 [1842].—A Beligian brig of war has arrived, and is now at anchor off the Gulf of Dulce. The object of her visit is to ascertain, for the information of the Belgian Government, the capabilities for colonization of the land acquired by the Eng company in Vera Paz, previous to effecting a purchase fm the said co. of its interests in the grant fm the Govt of Guat.—Journal of Commerce. /Spectator XLV

Possibly one of West Indies Mail Steamers by Royal Mail Steam Packet Co. of London / Prospectus in 11 Oct 1839 in National Gazette [PA] XIX 2850 p2 = 24 Oct 1839 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A109C8F89B2698480%40EANX-138A5C1185064CF8%402393037-138A0DC91E3C5F28%401-13976545D674C39C%40The%2BGreat%2BOcean%2BSteam%2BNavigation%2BCompany"							
