Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1986	Biological	Outbreak				0	0	"5,935"	L	1792																"23,818"	"23,818"	Cost of medical care
1998	Natural	Storm																								0	0	
2000	Natural	Storm																								0	0	
2001	Natural	Storm																								0	0	
2005	Natural	Storm																								0	0	
2008	Natural	Flooding																								0	0	
2008	Natural	Storm																								0	0	
2009	Biological	Outbreak																								0	0	
2010	Natural	Storm																								0	0	
2017	Anthropological	Wreck																								0	0	
2019	Biological	Outbreak																								0	0	


Disasters Damages /: Table 1
Start	Type	Subtype	R Damage	Multiplier	Multiplier	Multiplier	Multiplier	Adder	Adder	E Damage	unit	year	E D 2020	E D 2020
1701	Anthropological	Raid		114	0.2	1	100			"2,286"	Lsd	1750	"1,274,728"	"1,274,728"
1715	Natural	Famine								0	Lsd	1715	0	0
1716	Anthropological	Raid		150	1	0.25	600	2500		25000	Lsd	1717	"13,942,332"	"15,581,951"
				7	6	70	1			2940	Lsd	1739	"1,639,618"	
1717	Anthropological	Raid		7	20	70	1			9800		1739	"5,465,394"	"13,830,794"
				100	1	0.25	600			15000	Lsd	1717	"8,365,399"	
1723	Anthropological	Raid		7	7	70	1			3430	Lsd	1739	"1,912,888"	"20,419,940"
				7	13	35	1			3185	Lsd	1739	"1,776,253"	
				100	1	0.5	600			30000	Lsd	1717	"16,730,799"	
1723	Technological	Wreck		7	1	70	1			490	Lsd	1739	"273,270"	"273,270"
1725	Anthropological	Engagement		7	11	70	1			5390	Lsd	1739	"3,005,967"	"3,005,967"
1725	Technological	Wreck		7	1	70	1			490	Lsd	1739	"273,270"	"273,270"
1725	Anthropological	Engagement		7	3	50	1			1050	Lsd	1739	"585,578"	"585,578"
1726	Anthropological	Engagement								0	Lsd		0	0
1728	Anthropological	Engagement								0	Lsd		0	0
1729	Anthropological	Raid		100	3	1080	1			324000	Lsd	1726	"180,692,627"	"222,190,585"
				14000	5	1	1			70000	Lsd	1726	"39,038,531"	
				7	70	9	1			4410	Lsd	1739	"2,459,427"	
1730	Anthropological	Engagement								0	Lsd		0	0
1731	Anthropological	Engagement								0	Lsd		0	0
1732	Technological	Wreck		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1733	Technological	Wreck		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1737	Biological	Outbreak								0	Lsd		0	0
1737	Anthropological	Engagement		1000	0.25	5	1			1250	Lsd	1755	"711,059"	"711,059"
1739	Anthropological	Raid		3000	6	1	1			18000	Lsd	1742	"10,038,479"	"10,038,479"
1747	Anthropological	Raid		22.5	3	70	1			4725	Lsd	1742	"2,635,101"	"2,635,101"
1751	Anthropological	Raid		22.5	8	30	1			5400	Lsd	1742	"3,011,544"	"310,189,010"
				150	60	5	12			540000	Lsd	1755	"307,177,467"	
1754	Anthropological	Raid		150	60	5	6			270000	Lsd	1755	"153,588,733"	"153,588,733"
1755	Anthropological	Resettlement								0	Lsd		0	0
1765	Anthropological	Riot								0	Lsd		0	0
1770	Anthropological	Riot		3	1	1	100			300	Lsd	1750	"167,308"	"587,030"
				25	60	1	0.708333333333333			1062.5	Lsd	1786	"419,722"	
1771	Natural	Famine								0	Lsd		0	0
1772	Anthropological	Engagement								0	Lsd		0	0
1773	Anthropological	Engagement								0	Lsd		0	0
1773	Anthropological	Riot								0	Lsd		0	0
1775	Anthropological	Engagement								0	Lsd		0	0
1779	Anthropological	Engagement		200	60	3	5			180000	Lsd	1755	"102,392,489"	"102,392,489"
1779	Anthropological	Engagement								0	Lsd		0	0
1780	Anthropological	Engagement								0	Lsd		0	0
1784	Natural	Storm								0	Lsd		0	0
1785	Biological	Outbreak								0	Lsd		0	0
1785	Natural	Storm	1500							1500	Lsd	1785	"592,549"	"2,056,494"
				250	0.7	15	1			2625	Lsd	1750	"1,463,945"	
1787	Anthropological	Riot								0	Lsd		0	0
1787	Natural	Storm	30000							30000	Lsd	1787	"11,850,983"	"11,850,983"
1788	Biological	Outbreak								0	Lsd		0	0
1789	Technological	Wreck		7	100	1	1			700	Lsd	1739	"390,385"	"390,385"
1792	Natural	Flooding		2000000	0.708333333333333	1	1			1416666.66666667	Lsd	1781	"610,505,159"	"610,505,159"
1794	Anthropological	Engagement								0	Lsd		0	0
1798	Hostile	Engagement								0	Lsd		0	0
1812	Natural	Storm								0	Lsd		0	0
1813	Natural	Storm		25	100	1	1			2500	Lsd	1750	"1,394,233"	"1,394,233"
1823	Biological	Outbreak								0	Lsd		0	0
1824		Engagement		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1830	Biological	Outbreak								0	Lsd		0	0
1831	Natural	Storm		7	90	1	1			630	Lsd	1739	"351,347"	"351,347"
1835	Technological	Wreck		7	90	1	1			630	Lsd	1739	"351,347"	"351,347"
1842	Technological	Wreck		7	100	1	1			700	Lsd	1739	"390,385"	"390,385"
1852	Natural	Flooding		2000	15	2	1			60000	Lsd	1864	"19,174,623"	"19,174,623"
1854	Biological	Outbreak								0	Lsd		0	0
1854	Technological	Fire	95000							95000	Lsd	1854	"26,490,431"	"26,490,431"
1856	Technological	Fire	100000							100000	Lsd	1856	"27,087,960"	"27,087,960"
1857	Biological	Outbreak								0	Lsd		0	0
1860	Biological	Outbreak								0	Lsd		0	0
1863	Anthropological	Riot								0	Lsd		0	0
1863	Technological	Fire		450	100	1	1			45000	Lsd	1750	"25,096,198"	"25,096,198"
1864	Natural	Gales		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1864	Natural	Flooding		300	40	1	1			12000	BHD	1864	"766,985"	"766,985"
1866	Anthropological	Raid								0			0	0
1866	Anthropological	Engagement								0			0	0
1866	Anthropological	Raid	45510							45510	BHD	1866	"766,985"	"766,985"
1867	Anthropological	Raid								0			0	0
1867	Anthropological	Raid								0			0	0
1867	Anthropological	Raid								0			0	0
1867	Biological	Outbreak								0			0	0
1868	Anthropological	Raid	177031							177031	BHD	1868	"766,985"	"766,985"
1872	Anthropological	Raid								0			0	0
1872	Anthropological	Raid								0			0	0
1886	Biological	Outbreak								0			0	0
1892	Technological	Wreck		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1892	Technological	Wreck		7	70	1	1			490	Lsd	1739	"273,270"	"273,270"
1894	Anthropological	Riot								0			0	0
1905	Biological	Outbreak								0			0	0
1914	Anthropological	Engagement								0			0	0
1918	Biological	Outbreak								0			0	0
1918	Technological	Fire								0			0	0
1921	Biological	Outbreak								0			0	0
1923	Technological	Wreck								0			0	0
1931	Technological	Fire								0			0	0
1931	Natural	Storm								0			0	0
1932	Technological	Fire	250000							250000	USD	1932	"9,440,146"	"9,440,146"
1939	Anthropological	Engagement								0			0	0
1950	Anthropological	Riot								0			0	0
1953	Technological	Fire	1000000							1000000	USD	1953	"19,375,281"	"19,375,281"
1955	Natural	Storm								0			0	0
1961	Natural	Storm								0			0	0
1970	Technological	Wreck								0			0	0
1974	Natural	Storm								0			0	0
1978	Natural	Storm								0			0	0
1981	Anthropological	Riot								0			0	0
1986	Biological	Outbreak								0			0	0
1997	Technological	Wreck								0			0	0
1998	Natural	Storm								0			0	0
2000	Natural	Storm								0			0	0
2001	Natural	Storm								0			0	0
2005	Natural	Storm								0			0	0
2008	Natural	Flooding								0			0	0
2008	Natural	Storm								0			0	0
2009	Biological	Outbreak								0			0	0
2010	Natural	Storm								0			0	0
2017	Anthropological	Wreck								0			0	0
2017	Technological	Wreck								0			0	0
2019	Technological	Wreck								0			0	0
2019	Biological	Outbreak								0			0	0


Costs: Table 1
Start	Type	Damage	Description	Source for non-storm disasters		
1854	Biological		Outbreak of cholera (possible)	"Sir J.A. Burdon, Archives v 3, p. 174"		
1931		"BZD	255,256,578.95"	U			
1955		"BZD	96,514,925.37"	JANET			
1960		"BZD	1,173,030.04"	ABBY			
1961		"BZD	1,038,389,740.73"	HATTIE			
1974		"BZD	41,966,131.49"	FIFI			
1978		"BZD	198,257,537.05"	GRETA			
1998		"BZD	158,679.00"	MITCH			
2000		"BZD	841,311,627.80"	KEITH			
2001		"BZD	29,742,004.52"	CHANTAL			
2001		"BZD	644,295,433.70"	IRIS			
2007		"BZD	241,216,912.60"	DEAN			
2008		"BZD	187,415,194.90"	ARTHUR			
2010		"BZD	2,965,529.42"	ALEX			
2010		"BZD	74,554,351.45"	RICHARD			
2012		"BZD	784,010.43"	ERNESTO			
2016		"BZD	191,040,275.55"	EARL			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
			0	Storms		
			"BZD	1,792,036,284.19"	Diseases		
			"BZD	1,954,533,712.96"	Hostilities		
			"BZD	1,957,040.47"	Other		


Formulas: Table 1
Sheet	Column	Source	Notes
Trade + GDP 2020	Trade	((Imports Lsd + Exports Lsd) * UK CPI) ÷ USD to GBP * USD to BZD or (((Imports BHD + Exports BHD) / Lsd to BHD) * UK CPI) ÷ USD to GBP * USD to BZD	Figures in 2020 currency
	GDP	GDP USD * US CPI * USD to BZD	Figures in 2020 currency
Population	Estimates	(Nearest future census – Nearest past census) ÷ (Year of nearest future census – Year of nearest past census) + Census or estimate of past year	
Storm Deaths	S S 1 to 7	0 for storms of distance > 0 miles. 0.00001 * Population Estimates for all other storms	
	R S 1 to 7	(S S Deaths ÷ Population Estimates) * 1000	Ratio denominator = 1000
Storm Damages	A S 1 to 7	Damage USD * US CPI * USD to BZD for storms with damage data in USD. Damage BZD * Belize CPI for storms with damage data in BZD. (Damage BHD ÷ Lsd to BHD * UK CPI) ÷ USD to GBP * USD to BZD for storms with damage data in BHD.	Figures in 2020 BZD
	S S 1 to 7	0 for storms of distance > 0 miles. 0.001 * Trade 2020 for storms of distance = 0 miles and prior to 1960. 0.001 * GDP 2020 for storms of distance = 0 miles and on or after 1960.	Figures in 2020 BZD
	R S 1 to 7	(S S Damage ÷ Trade 2020) * 100 for storms prior to 1960. (S S Damage ÷ GDP 2020) * 100 for storms on or after 1960.	Ratio denominator = 100

Storms: Table 1
Name	Start	Parliament	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Loss unit	EM-DAT Deaths	Max wind	Min press	Max cat w/in	Data	Loss	Loss unit	Deaths
U	29 Jun 1851	1	1							80	-1					
U	21 Sep 1852	1	1	1	1					55	-1					
U	16 Aug 1857	3	1							65	-1					
U	7 Sep 1857	3	1	1	1					55	-1					
U	10 Jun 1858	3	1							55	-1					
U	20 Jun 1859	3	1	1						80	990					
U	25 Jul 1860	3	1							75	-1					
U	28 Jul 1861	4	1	1	1					45	-1					
U	26 Aug 1864	4	1	1	1					70	-1	1				
U	13 Aug 1866	5	1	1						90	-1	1				
U	17 Aug 1866	5	1							65	-1					
U	30 Oct 1870	Council	1	1						70	-1	1				
U	16 Sep 1871	Council	1	1	1					45	-1					
U	25 Sep 1874	Council	1	1						80	980					
U	17 Jul 1876	Council	1	1	1					75	-1	1				
U	19 Aug 1879	Council	1							90	964	1				
U	10 Sep 1879	Council	1	1	1					80	-1					
U	9 Jun 1880	Council	1	1	1					45	-1					
U	4 Aug 1880	Council	1							95	-1	1				
U	5 Oct 1880	Council	1							70	-1					
U	16 Aug 1881	Council	1							70	-1					
U	16 Sep 1883	Council	1							50	-1					
U	20 Jul 1887	Council	1							85	-1	2				
U	2 Aug 1887	Council	1	1	1					55	-1					
U	6 Oct 1887	Council	1	1						65	-1	2				
U	6 Oct 1887	Council	1							50	-1					
U	9 Oct 1887	Council	1							100	-1	3				
U	19 Aug 1888	Council	1							45	-1					
U	8 Oct 1888	Council	1	1						60	-1					
U	12 Sep 1889	Council	1							95	-1	2				
U	14 Sep 1889	Council	1							100	-1	3				
U	15 Oct 1889	Council	1	1	1					50	-1					
U	5 Oct 1891	Council	1							120	951	2				
U	14 Oct 1891	Council	1	1	1					55	-1					
U	23 Oct 1891	Council	1	1						55	-1					
U	23 Sep 1892	Council	1							55	-1					
U	5 Oct 1892	Council	1	1	1					85	-1	2				
U	4 Jul 1893	Council	1	1	1					85	-1	1				
U	4 Sep 1893	Council	1							85	-1					
U	9 Sep 1894	Council	1	1	1					55	-1					
U	25 Sep 1895	Council	1	1	1					55	982					
U	28 Sep 1895	Council	1							50	-1					
U	2 Oct 1895	Council	1							35	-1					
U	2 Sep 1898	Council	1	1	1					75	-1	1				
U	12 Sep 1898	Council	1	1	1					50	-1					
U	20 Sep 1898	Council	1							50	-1					
U	21 Oct 1898	Council	1							40	-1					
U	27 Oct 1898	Council	1							85	-1	2				
U	27 Oct 1898	Council	1	1	1					50	-1					
U	28 Sep 1904	Council	1	1	1					70	-1	1				
U	24 Sep 1905	Council	1							45	-1					
U	8 Oct 1906	Council	1	1	1					105	953	1				
U	6 Aug 1909	Council	1							40	1004					
U	21 Jun 1913	Council	1							65	-1					
U	28 Oct 1913	Council	1							65	1003					
U	27 Aug 1916	Council	1	1	1					70	986					
U	9 Oct 1916	Council	1	1						95	970	2				
U	11 Nov 1916	Council	1							60	1002					
U	6 Jul 1917	Council	1	1	1					45	-1					
U	22 Aug 1918	Council	1	1	1					90	968	1				
U	16 Sep 1920	Council	1	1						85	975					
U	16 Jun 1921	Council	1	1	1					80	980					
U	12 Jun 1922	Council	1	1						45	1006					
U	11 Oct 1922	Council	1							95	-1	2				
U	18 Jun 1924	Council	1	1	1					40	-1					
U	27 Sep 1924	Council	1							55	999					
U	14 Oct 1924	Council	1							145	910	3				
U	3 Oct 1926	Council	1	1	1					35	-1					
U	12 Nov 1926	Council	1							35	-1					
U	16 Oct 1927	Council	1	1						40	-1					
U	1 Sep 1928	Council	1							50	-1					
U	24 Jun 1931	Council	1	1						45	-1					
U	11 Jul 1931	Council	1	1						60	1000					
U	10 Aug 1931	Council	1	1	1					50	-1					
U	6 Sep 1931	Council	1	1	1	1	"7,500,000"	USD	1500	115	-1	4	1	"7,500,000"	USD	2500
U	8 Sep 1931	Council	1	1						85	987					
U	18 Oct 1931	Council	1							40	-1					
U	11 Nov 1931	Council	1	1	1					45	-1					
U	25 Sep 1932	Council	1	1	1					125	943					
U	7 Oct 1932	Council	1	1	1					60	-1					
U	14 Jul 1933	Council	1	1	1					45	-1					
U	10 Sep 1933	Council	1	1						95	960	1				
U	16 Sep 1933	Council	1							140	929	4				
U	4 Jun 1934	Council	1	1	1					85	966	1				
U	30 Aug 1935	Council	1							50	-1					
U	18 Oct 1935	Council	1							75	988					
U	12 Jun 1936	8	1	1						40	996					
U	28 Aug 1936	8	1	1						70	-1					
U	23 Aug 1938	8	1							105	979	3				
U	10 Oct 1938	8	1	1	1					50	996					
U	12 Jun 1939	9	1	1	1					55	-1					
U	18 Sep 1940	9	1	1						45	1004					
U	23 Sep 1941	9	1	1	1					115	-1	1				
U	3 Aug 1942	10	1	1	1					50	-1					
U	15 Sep 1942	10	1	1	1					45	-1					
U	5 Nov 1942	10	1	1	1					95	-1	2				
U	20 Oct 1943	10	1	1	1					40	-1					
U	16 Aug 1944	10	1							105	973	1				
U	20 Jun 1945	11	1							85	-1					
U	29 Aug 1945	11	1	1	1					60	990					
U	2 Oct 1945	11	1	1	1					80	982	1				
U	5 Oct 1946	11	1	1						85	977					
U	9 Aug 1947	11	1							95	977					
U	27 Sep 1949	12	1							95	965					
CHARLIE	12 Aug 1951	12	1							115	68	4				
U	2 Feb 1952	12	1	1						60	-1					
GILDA	24 Sep 1954	13	1	1	1					60	998					
HILDA	12 Sep 1955	13	1							105	952	3				
JANET	21 Sep 1955	13	1	1		1	"5,000,000"	USD	16	150	914	5	1	"5,000,000"	USD	16
FLOSSY	20 Sep 1956	13	1	1	1					80	974					
GERDA	14 Sep 1958	14	1	1	1					50	1001					
ABBY	9 Jul 1960	14	1	1	1					70	995	1	1	"81,000"	BHD	0
ANNA	17 Jul 1961	15	1	1	1					90	976	1				
HATTIE	26 Oct 1961	15	1	1	1	1	"60,000,000"	USD	275	145	914	5	1	"60,000,000"	USD	307
U	3 Jun 1964	15	1							60	992					
U	5 Nov 1964	15	1	1	1					60	997					
DEBBIE	24 Sep 1965	16	1							50	1000					
ABBY	1 Jun 1968	16	1							65	965					
FRANCELIA	29 Aug 1969	17	1	1	1					100	973	3				
LAURIE	17 Oct 1969	17	1							90	973					
ELLA	8 Sep 1970	17	1							110	967					
CHLOE	18 Aug 1971	17	1	1	1					55	1004					
EDITH	5 Sep 1971	17	1	1	1					140	943	1				
U	6 Oct 1971	17	1							25	-1					
LAURA	12 Nov 1971	17	1	1	1					60	994					
AGNES	14 Jun 1972	17	1							75	977					
U	6 Sep 1973	17	1							30	-1					
CARMEN	29 Aug 1974	18	1	1						130	928	4	1			1
FIFI	14 Sep 1974	18	1	1	1	1	"4,000,000"	USD		95	971	2	1	"4,000,000"	USD	0
ORLENE	21 Sep 1974	18	1	1	1					90	-1	2				
U	25 Sep 1975	18	1	1	1					25	-1					
U	27 Oct 1975	18	1	1						25	-1					
U	8 Nov 1975	18	1							30	-1					
FRIEDA	16 Oct 1977	18	1	1	1					50	1005					
GRETA	13 Sep 1978	18	1	1	1	1	"6,000,000"	USD	5	115	947	4	1	"25,000,000"	USD	4
U	12 Oct 1979	19	1	1						30	-1					
HERMINE	20 Sep 1980	19	1	1	1					60	993					
U	16 Oct 1980	19	1	1						25	-1					
PAUL	18 Sep 1982	19	1							95	-1					
U	1 Sep 1986	20	1	1	1					30	-1					
KAREN	28 Nov 1989	21	1							50	1000					
DIANA	4 Aug 1990	21	1	1						85	980					
FABIAN	15 Oct 1991	21	1							40	1002					
GERT	14 Sep 1993	22	1	1	1					85	970					
U	21 Sep 1993	22	1	1	1					30	-1					
U	24 Sep 1994	22	1	1	1					30	1004					
OPAL	27 Sep 1995	22	1							130	916					
ROXANNE	7 Oct 1995	22	1							100	956	3				
DOLLY	19 Aug 1996	22	1	1						70	989	1				
KYLE	11 Oct 1996	22	1	1						45	1001					
MITCH	22 Oct 1998	23	1			1	"50,000"	USD	9	155	905	5	1	"50,000"	USD	9
KATRINA	28 Oct 1999	23	1	1	1					35	999					
GORDON	14 Sep 2000	23	1							70	981					
KEITH	28 Sep 2000	23	1	1	1	1	"277,460,000"	USD	14	120	939	4	1	"280,046,900"	USD	19
CHANTAL	14 Aug 2001	23	1	1	1	1				60	997		1	"10,180,000"	USD	
IRIS	4 Oct 2001	23	1	1	1	1	"250,000,000"	USD	30	125	948	4	1	"480,000,000"	BZD	24
ISIDORE	14 Sep 2002	23	1							110	934	1				
BILL	28 Jun 2003	24	1							50	997					
LARRY	27 Sep 2003	24	1							55	993					
CINDY	3 Jul 2005	24	1	1						65	991					
EMILY	11 Jul 2005	24	1							140	929	4				
STAN	1 Oct 2005	24	1							70	977					
WILMA	15 Oct 2005	24	1			1				160	882	4				
GAMMA	14 Nov 2005	24	1			1			3	45	1002		1			3
BARRY	31 May 2007	24	1	1						50	990					
DEAN	13 Aug 2007	24	1	1		1	"14,847,000"	USD		150	905	5	1	"96,680,000"	USD	0
FELIX	31 Aug 2007	24	1	1	1					150	929					
ALMA	29 May 2008	24	1							55	994					
ARTHUR	31 May 2008	24	1	1	1	1			7	40	1004		1	"78,000,000"	USD	5
AGATHA	28 May 2010	25	1							40	1001					
ALEX	24 Jun 2010	25	1	1	1					95	946		1	"1,250,000"	USD	
KARL	13 Sep 2010	25	1	1						110	956					
MATTHEW	23 Sep 2010	25	1	1	1	1				50	998					
PAULA	11 Oct 2010	25	1							90	981	2				
RICHARD	19 Oct 2010	25	1	1	1					85	977	2	1	"70,476,982"	BZD	1
HARVEY	19 Aug 2011	25	1	1	1					55	994					
RINA	22 Oct 2011	25	1							100	966	3				
ERNESTO	1 Aug 2012	26	1	1						85	973	2	1	"762,800"	BZD	0
HELENE	9 Aug 2012	26	1	1	1					40	1004					
BARRY	16 Jun 2013	26	1	1	1					40	1003					
HANNA	21 Oct 2014	26	1	1	1					35	1000					
EARL	2 Aug 2016	27	1	1	1	1				75	979	1	1	"188,678,394"	BZD	0
FRANKLIN	6 Aug 2017	27	1							75	981					
HARVEY	16 Aug 2017	27	1	1						115	937					
ALBERTO	25 May 2018	27	1							55	990					
MICHAEL	6 Oct 2018	27	1	1						140	919					
note	1 BHD = 0.70 USD rate used; 1 BZD = 0.50 USD rate used. CPI for BZD  from SIB/ via Central Bank. CPI for USD from BLS/ via Alioth LLC															
note	"Centroid coordinates for Belize from Prof. Kelly O’Neill at Harvard, 2018 file."															
note	NMS has conflicting data. ORLENE expunged (record contained under FIFI).															
cf	NOAA data at NOAA Hurricane Tracks															
note	U = unnamed / S = tropical storm / D = tropical depression. Wind speeds in kt / Pressure in mb															


Storm History: Table 1
	S	D	C	S	D	C	S	D	C	S	D	C	S	D	C	S	D	C	S	D	C
1850																					
1851	U	150	0																		
1852	U	0	0																		
1853																					
1854																					
1855																					
1856																					
1857	U	150	0	U	0	0															
1858	U	150	0																		
1859	U	50	0																		
1860	U	150	0																		
1861	U	0	0																		
1862																					
1863																					
1864	U	0	1																		
1865																					
1866	U	50	1	U	150	0															
1867																					
1868																					
1869																					
1870	U	50	1																		
1871	U	0	0																		
1872																					
1873																					
1874	U	50	0																		
1875																					
1876	U	0	1																		
1877																					
1878																					
1879	U	150	1	U	0	0															
1880	U	0	0	U	150	1	U	150	0												
1881	U	150	0																		
1882																					
1883	U	150	0																		
1884																					
1885																					
1886																					
1887	U	150	2	U	0	0	U	50	2	U	150	0	U	150	3						
1888	U	150	0	U	50	0															
1889	U	150	2	U	150	3	U	0	0												
1890																					
1891	U	150	2	U	0	0	U	50	0												
1892	U	150	0	U	0	2															
1893	U	0	1	U	150	0															
1894	U	0	0																		
1895	U	0	0	U	150	0	U	150	0												
1896																					
1897																					
1898	U	0	1	U	0	0	U	150	0	U	150	0	U	150	2	U	0	0			
1899																					
1900																					
1901																					
1902																					
1903																					
1904	U	0	1																		
1905	U	150	0																		
1906	U	0	1																		
1907																					
1908																					
1909	U	150	0																		
1910																					
1911																					
1912																					
1913	U	150	0	U	150	0															
1914																					
1915																					
1916	U	0	0	U	50	2	U	150	0												
1917	U	0	0																		
1918	U	0	1																		
1919																					
1920	U	50	0																		
1921	U	0	0																		
1922	U	50	0	U	150	2															
1923																					
1924	U	0	0	U	150	0	U	150	3												
1925																					
1926	U	0	0	U	150	0															
1927	U	50	0																		
1928	U	150	0																		
1929																					
1930																					
1931	U	50	0	U	50	0	U	0	0	U	0	4	U	50	0	U	150	0	U	0	0
1932	U	0	0	U	0	0															
1933	U	0	0	U	50	1	U	150	4												
1934	U	0	1																		
1935	U	150	0	U	150	0															
1936	U	50	0	U	50	0															
1937																					
1938	U	150	3	U	0	0															
1939	U	0	0																		
1940	U	50	0																		
1941	U	0	1																		
1942	U	0	0	U	0	0	U	0	2												
1943	U	0	0																		
1944	U	150	1																		
1945	U	150	0	U	0	0	U	0	1												
1946	U	50	0																		
1947	U	150	0																		
1948																					
1949	U	150	0																		
1950																					
1951	CHARLIE	150	4																		
1952	U	50	0																		
1953																					
1954	GILDA	0	0																		
1955	HILDA	150	3	JANET	50	5															
1956	FLOSSY	0	0																		
1957																					
1958	GERDA	0	0																		
1959																					
1960	ABBY	0	1																		
1961	ANNA	0	1	HATTIE	0	5															
1962																					
1963																					
1964	U	150	0	U	0	0															
1965	DEBBIE	150	0																		
1966																					
1967																					
1968	ABBY	150	0																		
1969	FRANCELIA	0	3	LAURIE	150	0															
1970	ELLA	150	0																		
1971	CHLOE	0	0	EDITH	0	1	U	150	0	LAURA	0	0									
1972	AGNES	150	0																		
1973	U	150	0																		
1974	CARMEN	50	4	FIFI	0	2	ORLENE	0	2												
1975	U	0	0	U	50	0	U	150	0												
1976																					
1977	FRIEDA	0	0																		
1978	GRETA	0	4																		
1979	U	50	0																		
1980	HERMINE	0	0	U	50	0															
1981																					
1982	PAUL	150	0																		
1983																					
1984																					
1985																					
1986	U	0	0																		
1987																					
1988																					
1989	KAREN	150	0																		
1990	DIANA	50	0																		
1991	FABIAN	150	0																		
1992																					
1993	GERT	0	0	U	0	0															
1994	U	0	0																		
1995	OPAL	150	0	ROXANNE	150	3															
1996	DOLLY	50	1	KYLE	50	0															
1997																					
1998	MITCH	150	5																		
1999	KATRINA	0	0																		
2000	GORDON	150	0	KEITH	0	4															
2001	CHANTAL	0	0	IRIS	0	4															
2002	ISIDORE	150	1																		
2003	BILL	150	0	LARRY	150	0															
2004																					
2005	CINDY	50	0	EMILY	150	4	STAN	150	0	WILMA	150	4	GAMMA	150	0						
2006																					
2007	BARRY	50	0	DEAN	50	5	FELIX	0	0												
2008	ALMA	150	0	ARTHUR	0	0															
2009																					
2010	AGATHA	150	0	ALEX	0	0	KARL	50	0	MATTHEW	0	0	PAULA	150	2	RICHARD	0	2			
2011	HARVEY	0	0	RINA	150	3															
2012	ERNESTO	50	2	HELENE	0	0															
2013	BARRY	0	0																		
2014	HANNA	0	0																		
2015																					
2016	EARL	0	1																		
2017	FRANKLIN	150	0	HARVEY	50	0															
2018	ALBERTO	150	0	MICHAEL	50	0															
2019																					
2020																					


Storm Deaths: Table 1
