Calendar: Table 1
Date		Sp	Ot I	Ot II	War	Siege	Expulsion	Restriction	Trade	Sp	Ot I	Ot II
May Jun	1803	1803 Sp 979	1803 Ot I 979	1803 Ot II 979				Sp				
Jul Aug	1803	1803 Sp 980	1803 Ot I 980	1803 Ot II 980				Sp				
Sep Oct	1803	1803 Sp 981	1803 Ot I 981	1803 Ot II 981				Sp				
Nov Dec	1803	1803 Sp 982	1803 Ot I 982	1803 Ot II 982								
Jan Feb	1804	1804 Sp 983	1804 Ot I 983	1804 Ot II 983								
Mar Apr	1804	1804 Sp 984	1804 Ot I 984	1804 Ot II 984								
May Jun	1804	1804 Sp 985	1804 Ot I 985	1804 Ot II 985	Fr Sp							
Jul Aug	1804	1804 Sp 986	1804 Ot I 986	1804 Ot II 986	Fr Sp						Depression	
Sep Oct	1804	1804 Sp 987	1804 Ot I 987	1804 Ot II 987	Fr Sp						Depression	
Nov Dec	1804	1804 Sp 988	1804 Ot I 988	1804 Ot II 988	Fr Sp	Priv					Depression	
Jan Feb	1805	1805 Sp 989	1805 Ot I 989	1805 Ot II 989	Fr Sp	Fr						
Mar Apr	1805	1805 Sp 990	1805 Ot I 990	1805 Ot II 990	Fr Sp	Fr						
May Jun	1805	1805 Sp 991	1805 Ot I 991	1805 Ot II 991	Fr Sp							
Jul Aug	1805	1805 Sp 992	1805 Ot I 992	1805 Ot II 992	Fr Sp							
Sep Oct	1805	1805 Sp 993	1805 Ot I 993	1805 Ot II 993	Fr Sp							
Nov Dec	1805	1805 Sp 994	1805 Ot I 994	1805 Ot II 994	Fr Sp	Sp						
Jan Feb	1806	1806 Sp 995	1806 Ot I 995	1806 Ot II 995	Fr Sp							
Mar Apr	1806	1806 Sp 996	1806 Ot I 996	1806 Ot II 996	Fr Sp							
May Jun	1806	1806 Sp 997	1806 Ot I 997	1806 Ot II 997	Fr Sp							
Jul Aug	1806	1806 Sp 998	1806 Ot I 998	1806 Ot II 998	Fr Sp							
Sep Oct	1806	1806 Sp 999	1806 Ot I 999	1806 Ot II 999	Fr Sp							
Nov Dec	1806	1806 Sp 1000	1806 Ot I 1000	1806 Ot II 1000	Fr Sp							
Jan Feb	1807	1807 Sp 1001	1807 Ot I 1001	1807 Ot II 1001	Fr Sp							
Mar Apr	1807	1807 Sp 1002	1807 Ot I 1002	1807 Ot II 1002	Fr Sp							
May Jun	1807	1807 Sp 1003	1807 Ot I 1003	1807 Ot II 1003	Fr Sp							
Jul Aug	1807	1807 Sp 1004	1807 Ot I 1004	1807 Ot II 1004	Fr Sp							
Sep Oct	1807	1807 Sp 1005	1807 Ot I 1005	1807 Ot II 1005	Fr Sp							
Nov Dec	1807	1807 Sp 1006	1807 Ot I 1006	1807 Ot II 1006	Fr Sp							
Jan Feb	1808	1808 Sp 1007	1808 Ot I 1007	1808 Ot II 1007	Fr Sp							
Mar Apr	1808	1808 Sp 1008	1808 Ot I 1008	1808 Ot II 1008	Fr Sp							
May Jun	1808	1808 Sp 1009	1808 Ot I 1009	1808 Ot II 1009	Fr Sp							
Jul Aug	1808	1808 Sp 1010	1808 Ot I 1010	1808 Ot II 1010								
Sep Oct	1808	1808 Sp 1011	1808 Ot I 1011	1808 Ot II 1011								
Nov Dec	1808	1808 Sp 1012	1808 Ot I 1012	1808 Ot II 1012								
Jan Feb	1809	1809 Sp 1013	1809 Ot I 1013	1809 Ot II 1013								
Mar Apr	1809	1809 Sp 1014	1809 Ot I 1014	1809 Ot II 1014								
May Jun	1809	1809 Sp 1015	1809 Ot I 1015	1809 Ot II 1015								
Jul Aug	1809	1809 Sp 1016	1809 Ot I 1016	1809 Ot II 1016								
Sep Oct	1809	1809 Sp 1017	1809 Ot I 1017	1809 Ot II 1017								
Nov Dec	1809	1809 Sp 1018	1809 Ot I 1018	1809 Ot II 1018								
Jan Feb	1810	1810 Sp 1019	1810 Ot I 1019	1810 Ot II 1019								
Mar Apr	1810	1810 Sp 1020	1810 Ot I 1020	1810 Ot II 1020								
May Jun	1810	1810 Sp 1021	1810 Ot I 1021	1810 Ot II 1021								
Jul Aug	1810	1810 Sp 1022	1810 Ot I 1022	1810 Ot II 1022								
Sep Oct	1810	1810 Sp 1023	1810 Ot I 1023	1810 Ot II 1023								
Nov Dec	1810	1810 Sp 1024	1810 Ot I 1024	1810 Ot II 1024								
Jan Feb	1811	1811 Sp 1025	1811 Ot I 1025	1811 Ot II 1025								
Mar Apr	1811	1811 Sp 1026	1811 Ot I 1026	1811 Ot II 1026								
May Jun	1811	1811 Sp 1027	1811 Ot I 1027	1811 Ot II 1027								
Jul Aug	1811	1811 Sp 1028	1811 Ot I 1028	1811 Ot II 1028								
Sep Oct	1811	1811 Sp 1029	1811 Ot I 1029	1811 Ot II 1029								
Nov Dec	1811	1811 Sp 1030	1811 Ot I 1030	1811 Ot II 1030								
Jan Feb	1812	1812 Sp 1031	1812 Ot I 1031	1812 Ot II 1031								
Mar Apr	1812	1812 Sp 1032	1812 Ot I 1032	1812 Ot II 1032								
May Jun	1812	1812 Sp 1033	1812 Ot I 1033	1812 Ot II 1033	Am							
Jul Aug	1812	1812 Sp 1034	1812 Ot I 1034	1812 Ot II 1034	Am							
Sep Oct	1812	1812 Sp 1035	1812 Ot I 1035	1812 Ot II 1035	Am							
Nov Dec	1812	1812 Sp 1036	1812 Ot I 1036	1812 Ot II 1036	Am							
Jan Feb	1813	1813 Sp 1037	1813 Ot I 1037	1813 Ot II 1037	Am							
Mar Apr	1813	1813 Sp 1038	1813 Ot I 1038	1813 Ot II 1038	Am							
May Jun	1813	1813 Sp 1039	1813 Ot I 1039	1813 Ot II 1039	Am							
Jul Aug	1813	1813 Sp 1040	1813 Ot I 1040	1813 Ot II 1040	Am							
Sep Oct	1813	1813 Sp 1041	1813 Ot I 1041	1813 Ot II 1041	Am							
Nov Dec	1813	1813 Sp 1042	1813 Ot I 1042	1813 Ot II 1042	Am							
Jan Feb	1814	1814 Sp 1043	1814 Ot I 1043	1814 Ot II 1043	Am							
Mar Apr	1814	1814 Sp 1044	1814 Ot I 1044	1814 Ot II 1044	Am							
May Jun	1814	1814 Sp 1045	1814 Ot I 1045	1814 Ot II 1045	Am							
Jul Aug	1814	1814 Sp 1046	1814 Ot I 1046	1814 Ot II 1046	Am							
Sep Oct	1814	1814 Sp 1047	1814 Ot I 1047	1814 Ot II 1047	Am							
Nov Dec	1814	1814 Sp 1048	1814 Ot I 1048	1814 Ot II 1048	Am							
Jan Feb	1815	1815 Sp 1049	1815 Ot I 1049	1815 Ot II 1049	Am							
Mar Apr	1815	1815 Sp 1050	1815 Ot I 1050	1815 Ot II 1050								
May Jun	1815	1815 Sp 1051	1815 Ot I 1051	1815 Ot II 1051								
Jul Aug	1815	1815 Sp 1052	1815 Ot I 1052	1815 Ot II 1052								
Sep Oct	1815	1815 Sp 1053	1815 Ot I 1053	1815 Ot II 1053								
Nov Dec	1815	1815 Sp 1054	1815 Ot I 1054	1815 Ot II 1054								
Jan Feb	1816	1816 Sp 1055	1816 Ot I 1055	1816 Ot II 1055								
Mar Apr	1816	1816 Sp 1056	1816 Ot I 1056	1816 Ot II 1056								
May Jun	1816	1816 Sp 1057	1816 Ot I 1057	1816 Ot II 1057								
Jul Aug	1816	1816 Sp 1058	1816 Ot I 1058	1816 Ot II 1058								
Sep Oct	1816	1816 Sp 1059	1816 Ot I 1059	1816 Ot II 1059								
Nov Dec	1816	1816 Sp 1060	1816 Ot I 1060	1816 Ot II 1060								
Jan Feb	1817	1817 Sp 1061	1817 Ot I 1061	1817 Ot II 1061								
Mar Apr	1817	1817 Sp 1062	1817 Ot I 1062	1817 Ot II 1062								
May Jun	1817	1817 Sp 1063	1817 Ot I 1063	1817 Ot II 1063								
Jul Aug	1817	1817 Sp 1064	1817 Ot I 1064	1817 Ot II 1064								
Sep Oct	1817	1817 Sp 1065	1817 Ot I 1065	1817 Ot II 1065								
Nov Dec	1817	1817 Sp 1066	1817 Ot I 1066	1817 Ot II 1066								
Jan Feb	1818	1818 Sp 1067	1818 Ot I 1067	1818 Ot II 1067								
Mar Apr	1818	1818 Sp 1068	1818 Ot I 1068	1818 Ot II 1068								
May Jun	1818	1818 Sp 1069	1818 Ot I 1069	1818 Ot II 1069								
Jul Aug	1818	1818 Sp 1070	1818 Ot I 1070	1818 Ot II 1070								
Sep Oct	1818	1818 Sp 1071	1818 Ot I 1071	1818 Ot II 1071								
Nov Dec	1818	1818 Sp 1072	1818 Ot I 1072	1818 Ot II 1072								
Jan Feb	1819	1819 Sp 1073	1819 Ot I 1073	1819 Ot II 1073								
Mar Apr	1819	1819 Sp 1074	1819 Ot I 1074	1819 Ot II 1074								
May Jun	1819	1819 Sp 1075	1819 Ot I 1075	1819 Ot II 1075							Depression	
Jul Aug	1819	1819 Sp 1076	1819 Ot I 1076	1819 Ot II 1076								
Sep Oct	1819	1819 Sp 1077	1819 Ot I 1077	1819 Ot II 1077		Pir						
Nov Dec	1819	1819 Sp 1078	1819 Ot I 1078	1819 Ot II 1078								
Jan Feb	1820	1820 Sp 1079	1820 Ot I 1079	1820 Ot II 1079								
Mar Apr	1820	1820 Sp 1080	1820 Ot I 1080	1820 Ot II 1080								
May Jun	1820	1820 Sp 1081	1820 Ot I 1081	1820 Ot II 1081								
Jul Aug	1820	1820 Sp 1082	1820 Ot I 1082	1820 Ot II 1082								
Sep Oct	1820	1820 Sp 1083	1820 Ot I 1083	1820 Ot II 1083								
Nov Dec	1820	1820 Sp 1084	1820 Ot I 1084	1820 Ot II 1084								
Jan Feb	1821	1821 Sp 1085	1821 Ot I 1085	1821 Ot II 1085								
Mar Apr	1821	1821 Sp 1086	1821 Ot I 1086	1821 Ot II 1086								
May Jun	1821	1821 Sp 1087	1821 Ot I 1087	1821 Ot II 1087								

Hostilities: Table 1
	Hon	Sea	Lives	Prisoners	Impressed	Expelled	Sea Seizures	Bay Craft	Craft	Houses	Personal	Wood	Dating	Actors	Name
1663 Bucc	1	0												Buccaneers	Sack of Campeche of 1663
1701 Sp	1	0				drove away				burnt			Mar 01	Sp	
1718 Pir	1	0			"


took Harriot and his men"				"took Caesar 400 t ship, 4 sloops, plundered all, returned 2 sloops

took sloop Adventure"				"9 Apr 18

2 Apr 18"	"Blackbeard

Blackbeard"	
1718 Pir Sp	5	6	"




45 to 53 or 58 Sp, 1 mate killed, 1 Sp killed later








6 Pir killed, 5 or 6 more mortally wounded



1 Pir killed / 1 [likely] mortally wounded"	"






















some Bay prisoners at Carthagena < 3 Jun 1720"	"Greyhound men barbarously used / 5 mates tradesmen
















1 captain







1 sloop co of Dursey / Dursey and 5 or 6 escaped"	"




6 sailors improsoned / released later by Pir"	"






1 plundered 700 or 800L wood"		"burnt 8 w cargo inc Greyhound / 1 sloop burnt / 1 taken / 1 plundered / 1 of 80 to 100 t taken / 2 brigs taken


3 to 5 sloops w cargo taken [1 pink too, possibly] / retaken by Low, Lowder





7 or 8 sloops seized

14 ships seized

10 or 12 vessels taken, then liberated by Eng


taken 16 sail, burnt 1 [rest returned?]

1 ship John and Mary taken, retaken by impressed mates / 5 previously taken





1 sloop / 2 or 3 other vessels destroyed"				"10 Jan 1718         

















Aug 22"	"Lowder




Sp, Low, Lowder


Pir


Sp

Sp

Spriggs


Spriggs, Shipton

Spriggs, Shipton



Sp


Anstis"	"




Low, Lowder Massacre of 1718"
1728 Sp	3	10	"










2 killed"	"



c 30 white = great many whites, Negroes





9 men"		"












by 31 Jan 31 / evac fm < Jun 29"		"



burnt all boats New, Hondo, then Old = c 140"	"taken 6 ships, sloops

6 ships taken inc William and Elizabeth, Kidder

taken all vessels at New, Hondo, then Old

taken sev vessels / 1 brig afterwards

Frances, and sev other ships and sloops taken / min 5

John and Jane taken




8 taken"	"



burnt all at New, Hondo, then Old"	"



seized all tools New, Hondo then Old"	"



burnt 12 to 16,000 t at New, Hondo = c 300,000 quintals at New, Hondo, then Old"	Nov 28	"Sp

Sp, Pir

Sp

Sp

Sp


Sp

Sp


Sp"	"



Routing of 1729"
1734 Sp	6	14	"








1 pilot beheaded"	"








all crew




Reeves and two of his Neg

25, later liberated"				"1 prev takn, then liberated















all flats, 2 sloops loading a ship, later liberated"	"1 taken, then liberated / 1 prev taken, then liberated

1 sloop taken min

1 flyboat burnt

4 taken, 3 then liberated

1 sloop taken

taken a sloop or two [min] = 6 or 7 smaller vessels taken / 1 sloop deserted in fight, taken

2 sloops, 2 craft w 26 t wood [ea or together?] taken"			"










burnt abundance … landed at Keys"	Jan 34	"Sp


Sp

sn

Sp

Sp

Sp


Sp


Sp"	
1750 Sp	8	17	"1 killed
















1 mate killed"	"1 captain, 8 men, 3 women passenger / lib later

129 Eng [Bay inc?] [returned?] / min 19 released

1 brig co., later released

carried off all Neg

1 vessel co, later escaped, except McDonald



19 Neg carried off

2 captains, 1 mate"	"























min 1 taken for 6 months"	"





evac on 9 Jan 52














on 9 Jun 53 fm New



evac on 18 Jun 54 to Apr or May 55"		"


18 to near 30 flats taken
















not one craft escaped destruction in New"	"1 tender taken / 1 ship taken later, ship lib later

7 sloops taken


1 brig taken



1 vessel taken


1 snow w Prov taken / 1 vessel taken, then lib



1 sloop plundered / 5 craft w wood taken

2 craft taken / 1 plundered of Prov




3 vessels taken, then liberated"	"




















entirely routed fm New [so houses burnt?]"			May 50	"Sp


Sp


Sp

Sp

Sp


Sp

Sp

Sp

Sp

Sp


Sp

Sp"	"





Routing of 1752"
1756 Fr Sp	4	7		"


sev Baymen in New


carried off about 60 Neg and some whites



31 Brit subjects, 30 Neg, later lib by Owens

a number of white and Neg"		"








evac c 10 Nov 58


"		"





destroyed everything they came across



3 loaded flats, later liberated by Owens

sev loaded flats"	"min 2 vessels taken min


min 1 craft forced to unload half cargo to escape"	"





destroyed the houses"	"fort demolished, 18 cannon sunk [Knowles order?]




destroyed everything they came across"	"





destroyed the wood"	Nov 56	"Sp


Sp


Sp


Sp

Sp


Sp"	
1764 Sp	2	0				evac Hondo on 4 Feb 64 / evac all except Old on 13 Feb 64 / restored 5 Mar 65							23 Dec 63	Sp	
1767 Maya Sp	2	0	murdered some Bay Men	Neg of oldest settlers carried off fm Hondo						burnt at Hondo	cattle burnt at Hondo		Mar 67	"Sp


Maya ?"	
1770 Sp	4	3	sev bay men killed in dispute	"



carried of a Neg fm Ambergris

Jacob’s Well crew taken"					"

min 2 ships driven off wo loading



Jacob’s Well craft taken"	"



burnt sev at Ambergris"		destroyed all mahogany lying in sm bays	Sep 70	"Sp

Sp

Sp

Sp"	
1773 Maya	1	0	massacred numbers of Eng										Sep 73	Maya	
1793 Maya	1	0	1 inhabitant shot / later 3 Maya killed										Nov 93	Maya	
1793 Am Fr Sp	0	6													


Wars: Table 1
	Hon	Sea	Bay action	Lives	Prisoners	Impressed	Expelled	Sea Seizures	Bay Craft	Craft	Houses	Personal	Wood	Dating	Actors	Name
1701 Fr Sp	0	0	0											Jul 01		
1718 Sp	0	0	0											2 Aug 18		
1726 Sp	0	0	0											Mar 26		
1739 Sp	2	14	1	"3 killed


loss of several men in ship after chase





1 captain killed, 1 pass dangerously wounded

1 vessel crew drowned [accidental, on being taken by Sp]

captain, owners of sloop killed"	"companies of 2 sloops carried away … captain used in barbarous manner








some of Captain Fiske co."				"

















taken sev sm trading vessels"	"1 vessel, 2 sloop taken [min]




5 vessels taken

1 vessel taken

Fiske’s craft taken


3 vessels taken


1 sloop Kouli Can taken

taken sev ships


1 brig taken"				22 Oct 39	"Sp


Sp


Sp

Sp

Sp


Sp


Sp

Sp


Sp

Bay, Eng"	"






















Charge of Panama of 1742"
1762 Fr Sp	0	0	0											Jan 62		
1775 Am Fr Sp	3	13	2	"






1 scout killed, loss of 2 men in sacking / burning St. Pedro


6 killed, ? died of disease"	"


F George garrison imprisoned"	1 pilot fm St. George’s to Sherboon	"


driven fm Rio Tinto / entirely driven fm all Hon [later or same time?]"			"2 ships, 1 brig taken"	"   Fort George taken [so houses destroyed?]"	"supply of rum, sugar demanded for "	"


deprived Eng of wood [so laid wood destroyed?]"	19 Apr 75	"Am


Sp



Bay, Eng



Bay, Eng"	"Washington Affair


Capture of St. George’s Caye of 1779


Siege of San Pedro Sula of 1781


Siege of Omoa of 1779"
1796 Fr Sp	1	5	1	"



11 killed"	"



9 imprisoned"						houses burnt by Baymen to preclude attack [source?]			Aug 86	"Sp


Bay [likely not?], Eng"	"Battle of St. George’s Caye

Shelling or Sacking of Truxillo of 1797"
1804 Fr Sp	0	4	0											May 04		
1812 Am	0	0	0											18 Jun 12		


Other: Table 1
	Lives	Fleet	Property	Displacement	Other	Dating	Name
1737 Outbreak	"abundance of Baymen have died, as well as those of Fleet"					15 Jun 37	Diphtheria ?
1750 Outbreak					makes it impossible to cut Logwood / 30 to 40 vessels waiting	7 Mar 50	"Fever, ague"
1751 Outbreak	left sev Vessels without Hands … two [women] left in the whole Bay					Nov 51	Measles ?
1765 Revolt	"Cook, 3 seamen killed

killed sev seamen [New]


1 Sp killed

sev slaves hanged [of 70?] / the ringleaders hanged"		min 1 family robbed [likely]	"

many bay men deserted works [in New?]"	held New R	"1 Aug 65

22 Aug 65   15 Sep 65

22 Dec 65"	Cook
1765 Depression				sev settlers returning w slaves to Mos / to Pensacola	"Log so scarce that vessels lie frequently 9 or 10 m for loading

Freshes have been so great / Hondo runs c 5 knots p hr / no business done 25 Oct to 29 Nov 65 / expect little wood Dec 65 to Jan 66

wood scarce / c 70 vessels waiting

Prov esp bread so very scarce / many vessels ready to sail could not for want thereof

Prov scarce [likely] to min 1 Nov 66"	"22 Jun 65







16 Apr 66

21 Jun 66"	"Exhaustion of Log in banks


Freshes"
1770 Affair			"






very dangerous dispute broke out w Fr Log cutters"	Fr Dutch Log cutters extremely numerous in bay	"


Eng wool has hardly any sale in Bay / Fr bring manufactures 30 pc cheaper"	"1 Feb 67


15 Jun 68



15 Dec 70"	"French, Dutch"
1768 Desertions				"near 10,000L sterling loss fm deserting slaves fm start to 12 Jun 71"		12 Jun 71	
1771 Famine	"


17,000 died in Ambergris, upwards of 80,000 total"			Maya daily desert to Hon / receive hospitality	"





Prov so scarce / the like not remembered by oldest settlers"	"12 Jun 71


1 Oct 71


1 Nov 71"	
1772 Affair							Thetis
1773 Revolt	2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later		min 4 families robbed	"




c 70 revolters in woods / w Sp"	will be very little wood of any kind shipped in 1773	"28 May 73




29 Aug 73"	Davidson
1784 Flood	epidemic distemper at New proved fatal to many				severest weather ever remember fm Dec 84 to Nov 85 … esp New	1 Dec 84	
1785 Panic			left their stock in jeopardy / their habitations = inexpressible losses	"settlers in New, Hondo lost part of their Neg / evac to St. George’s, Belize"	were in want of bread Prov	Feb 85	Sp ?
1786 Revolt	killed a number of people			slaves mustered = 70 or 80 by Nov 86		Jun 86	Old R
1787 Affair			"


























Sp commissary destroyed all cultivated spots [plantain walks]

Sp commissary destroyed all cultivated spots [plantain walks] / arrested all turtle fishers / [likely seized all turtles]"		"riots very frequent c Jun 87 / jealousy bw old, new settlers wrt lands

flour and some Prov very scarce and dear c Aug 87

settlers much in want of shipping for their products c Aug 87

annulled and extinguished Magistracy so courts are shut up = anarchy and confusion

compromise reached

8 ships arrived at Eng [Lon?] all w Mah by 2 Jun 89 / there seldom was known to be > 3 or 4 ships in one yr

such great quant of timber [Log, Mah likely] cut down fm Apr 87 to 89 / scarcely know what to do w it

Hunter orders Prov for c 2,000 inhabitants for 6 weeks"	"Jun 87



Aug 87


Aug 87


Apr 89



Aug 89

2 Jun 89



Apr 89



Aug 90


Apr 89


Apr 91"	"Despard, Mos immigration"
1787 Outbreak	"upwards of 50 white, much greater numb of Neg fm Sep 87 to Jan or Feb 88"					1 Feb 88	Measles ?
1792 Flood	many Neg perished		nearly all stock destroyed / Mah loss = c 2 million ft		river [Old likely] rising > 70 ft / inhabitants quit houses / reside on flats sev days	1 Nov 92	Aug to Oct 92 rains
1797 Outbreak	23 men die within weeks of arrival					29 Sep 97	Yellow fever fm 1796 Fr Sp War ?
