Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
E 				Crs 4	2 Jun 1789			Surplus of logged wood	xxx									8 ships arrived at Eng [Lon and Out ports?] all w Mah by 2 Jun 89 / there seldom was known to be > 3 or 4 ships in one yr		"MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]
CO 137/90 [16 Jun 1792]"	"Calderon 391, 394
Burdon 1 p199"	"INFORME DE GUAL EN BACALAR A 25-7-792. [E]l común de los habitantes detesta semejantes infracciones [= En las riberas extra límites del Valis ... como 700 árboles de caoba cortados, y sacados] y anhela el verlas remediadas, por lo que le dañan, haciendo descender el precio de la caoba con la excesiva abundancia a la mitad de lo que generalmente se considera necesario para que la corta sea útil a los cortadores. ... Comparadas las cantidades [de pies de caoba exportados] del año próximo pasado [1791] con las del presente, se ve, que la exportación hecha en ésta ha sido formidable, de que procede el descenso de valor de la caoba, a poco más de medio shilling, o de real y medio de vellón a cada pie. /via Calderon 391 /MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]

1792, June 16th. Magistrates to William Dunlop, Agent-General for Jamaica. ... Since Hunter left only one Spanish officer has visited the settlement, and he finding no English offer to accompany him ""declined ascending the Rivers, so that the transgressors [who cut Mahogany outside of Treaty limits] have escaped paying the usual Tax [levied by Spanish Commissaries on transgressors] of two and a half dolars per log."" The result has been that during the last year [1791?] mahogany equal to one-third the total consumption of Europe has been cut. /via Burdon 1 p199 /CO 137/90"	
E 				Crs 4	9 Jun 1789	9 Jun 1789		"On Yucatan’s request, Superintendent requires Magistracy and Courts to be dissolved"	Old	Sp Commissary Juan Bautista Gaul	Col Despard / Thomas Potts and Magistrates							annulled and extinguished Magistracy so courts are shut up = anarchy and confusion		"CO 123/6 [19 Apr 1788]
CO 123/7 [19 Aug 1789]
CO 123/8 [10 Jul 1789]
FO Spain 72/15 [30 May 1789]
MEXICO,3108 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]
CO 137/86 [1, 20 Dec 1786]
CO 123/11 [Jun 1789]"	"Burdon I p171—4
Calderon 360 no 5"	"1786, December 1st. Superintendent Despard, Honduras, to Gov. Clarke. ... wishes to know whether ""the present Government which subsists here"" is contrary to the Treaty of 1783. The six Magistrates have recently placed a duty on all shippiing without making a distinction between British and American vessels. ""I shall be glad to know how far I am justifiable in suffering this intercourse"" (with the US). /via Burdon 1 p159 /CO 137/86

1786, December 20th. Superintendent Despard to Lord Sydney. ... 'The same spirit which opposed the supreme executive authority of Great Britain in the case of the last convicts [of ship Mercury or ship Fair American, both sent by Mr. Moore of London] that were sent here still rules in Honduras and will continue to do so until the present democratick form of Government be superseded."" He asks to be ""invested with a compulsory power to restrain effectually the Wood-cutters from committing similar excesses in future."" /via Burdon 1 p159 /CO 123/5

En la boca del mismo Walix, residía un Cuerpo de 9 Magistrados, erigido por propia autoridad de los habitantes, en grande repugnancia del Superintendente, y sin conocimiento de su Soberano, ejerciendo jurisdicción sobre todos los establecimientos bajo del régimen de juntarse de tiempo en tiempo, para resolver los casos de justicia que ocurrían, y tratar de negocios de política: y siendo todo sistema de gobierno en aquel paraje directamente contrario al artículo 7.º de la Convención celebrada en 1786, requirió D. Juan Bautista Gual al SuperintendentE a fin de que aboliese y extinguiera el indicado Cuerpo; y aunque este Jefe se vio en perplejidad, según lo manifestó al referido Oficial para dar un paso tan grave como repugnante a un pueblo que no le tributaba el mayo resepto; fueron por último suficientes las eficaces y fundadas insinuaciones de D. Bautista Gual para esforzarle a que diese noticia a los infractores de su requerimiento, cuya diligencia produjo el efecto de la abolición y extinción pedida, ... /via Calderon 360 /MEXICO,3108

1789, August 19th. Richard Hoare to Robert White. Accuses Col. Despard of communicating information concerning the Settlement to the Spaniards in order to procure their help in his constitutional conflict with the Baymen; and blames him for the provisions question ever having been raised, since he asked the Spanish officer for permission to make provision grounds. Concludes, ""Indeed, the manner we have lived with the Spaniards since the last settlement is too degrading for an Englishman to suffer."" /via Burdon 1 p176 /CO 123/7"	
E 		1			10 Jun 1789	10 Jun 1789	Col Despard’s Plan of Police	"On dissolution of Magistracy and Courts, Col Despard is prompted to and does propose a new constitution of government, styled Plan of Police, itself made null and void 25 Nov 1789"	Old		Col Despard									"CO 123/11 [Jun 1789]
CO 123/8 [10, 15 Jun 1789]
CO 123/12 [25 Nov 1789]"	Burdon 1 p172	"1789, June 10th. Plan of Police, by E. M. Despard. Police to consist of the Superintendent together with a Committee of 15 elected annually by the inhabitants, Superintendent to have power to summon or dismiss the Committee, but must call it every six months or oftener if required by a majority of the inhabitants. He may negative all its proceedings, he is to execute any Regulations made by it, to appoint all officials and judges and to remove the latter on the application of the Committee. He may remit penalties in the Courts. He is to have control of all expenditure. In event of war he will be Commander in Chief. The inhabitants if willing to accept are to subscribe to the Plan and promise obedience and assistance. On the arrival of any system of regulation from Great Britain it [this Plan] will become null and void. /via Burdon 1 /CO 123/8

Despard Plan of Police approved by 130 inhabitants; and condemned by 24 principal settlers, on 15 Jun 1789 /via Burdon 1 p173 /CO 123/8

1789. Petition by Settlers against Despard's Constitution. Contending that it was nto right for a small body, the Superintendent and fifteen other to have power to repeal or abrogate laws and regulations sanctioned by the whole Community: that all appropriations of money should remain to the people and not the Superintendent. ""Englishmen can never brook the despotic government of an individual. We have tasted the sweets of liberty and hitherto have never forfeited our right and title to that valuable blessing ... "" /via Burdon 1 p174 /CO 123/8

1789, November 25h. Advertisement. HM Superintendent ... publickly declares that he considers the present [Despard's] System of Police and all offices held under that Police to be from this Moment and henceforth forever annulled extinct and void. King's House, 25th November 1789. E. M. Despard. 4 O'Clock in the afternoon. /via Burdon 1 p181 /CO 123/12"	
E 				Crs 4	1 Aug 1789			xxx										compromise reached		xxx			
E 		1			10 Nov 1789	10 Nov 1789	Suspension of Col. Despard	"Sec of State Grenville suspends Col Despard in favour of Lt. Col Hunter of 60th Regiment [in Jam?], later confirmed permanent on 4 Oct 1791"	"Old, London"		Sec Grenville / Gov of Jam Lord Effingham / Col Despard / Col Peter Hunter									"CO 132/8 [16 Oct, 10 Nov 1789]
CO 123/13 [4 Oct 1791]"	Burdon 1 p178	"1789, October 16th. Sec of State Grenville to Col. Hunter. Directs that on his arrival in the Bay he is to act as Superintendent until the restoration of Despard. He is to be under the direction of Lord Effingham but to write home too. He is to declare Despard's Plan of Police null and void and to consider the old system standing where it did in May last. He is to ""learn the sentiments of the settlers"" but ""to keep in view the essential object of providing by such regulations for the due observance of the Convention [of London, 1786] by restraining HM Subjects within the Limits assigned to Them and by preventing them from engaging in any branch of commerce or Manufacture excepting only the Trade in Woods."" /via Burdon 1 p179 /CO 123/8

1789, November 10th. Sec of State Grenville to Despard. Suspending him ... it is difficult to explain ""the irregularity of the whole of those [Sp Commissary visits] proceedings"" with the Spanish Commissary. The sole purpose of the visits by Spanish Officers is to see that no forts are erected by the Settlers, and the British commissaries accompany them to see that this purpose is fulfilled. The giving HM sanction and authority to the destruction of the Plantations by the Spanish Commissary was ""an act highly exceptionable."" Gual should have reported finding them to his superiors, as their status was doubtful and Spain has since given her consent to such cultivation. Similarly Gual should have been permitted to report the finding of the system of Magistrates to his superiors. Despard knew that the introduciton of a Plan of Police was under consideration in England. Even if Gual had been right in making the complaint and Despard had been authorised to abolish the Courts it would have been wrong to do so since the Settlement could not subsist without them and he himself proceeded to set up an alternative system ""equally liable to the objection by which you declared the former to be illegal."" /via Burdon 1 p180 /CO 123/8

1791, October 4th. Sec Dundas, Whitehall, to Col Despard. ... You were informed by Lord Grenville at the time of your suspension of the impression which HM Servants had received of your conduct from the Papers then before them. That impression not being done away ... I have only now to inform you that HM does not conceive it will be for the advantage of His Service to reinstate you ... /via Burdon 1 p195 /CO 123/13"	
E 				xxx	1 Jan 1790	30 Dec 1790		Indians raid Settlement	New											"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 nov 1790]"	Calderon 376	"EXTRACTO DEL DIARIO DE TOMAS GRAHAM EN BELICE, DE 22 A 29-9-790. ... The Settlers have been in the habit of calling their people together at one time or  other in every year and many of them from different pars of the District are upon the Banks of the Belize at present. These Settlers at their own discretion order their negroes to either point of that River's Mouth, to Haul-over, or to any place in the limits assigned for their use by the treaty of Peace of 1783 and Convention of 1786. When danger has been apprehended either from an Insurrection among the slaves, or from any attack of the wild Indians (as happened last year [1789] in the New River) it has been usual for the inhabitants to carry such arms as they have, so long as the danger existed. This is a privilege absolutely necessary, that has been often exercised and well known to His Catholic Majesty's Subjects in this Province, ... /via Calderon 376 /MEXICO,3023"	
E 		1			1 Jan 1790	28 Feb 1790	Hon Census	First census conducted	Old											"CO 123/9 f 256
CO 123/11 
MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	"Calderon 364 no 13
Finamore 93
Bolland 75 87"	"See 1787 Lamb Survey in CO 700 /v Finamore 90 / and 1790 “Present State of British Settlers in Honduras” in CO 123/9 f 248 /v Finamore 93 / and Sp Commissary inspections eg xxx

Jan–Feb 1790 List of the Inhabitants of Honduras, taken by HM Sup, in Jan and Feb 1790, in consequence of HCM Consession of 30 May 1789, permitting them to cultivate gardens /CO 123/11
22 Oct 1790 General Return of the Inhabitants int he Bay of Honduras, Free people of every description and Slaves /CO 123/9

RAFAEL LLOBET A E. M. DESPARD, EN PIRAGUE DE LA ENCARCACION A LA BOCA DEL RIO WALIX, EN 26-1-1790. ""... me es absolutamente necesario suplicar a V. S. se sirva tener la bondad de facilitarme una Relación firmada por V. S del nombre de los pretendients [para terrenos para huertas, conforme a las órdenes e instrucciones que al efecto ha impuesto el Sr. Gobernador y Capitán General de la Provincia de Yucatán], número de sus familias, y dependientes para que con conocimiento de las obligaciones de cada uno, determine yo lo conveniente. /via Calderon 364 /MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	
E 		1			8 Jan 1790	30 Jun 1790	Llovet inspection	Rafael Llovet inspects Hon as Sp Commissary	xxx	Rafael Llovet										"SGU,LEG,6949,19 = EST, xxx
MEXICO,3109 [Galvez a Valdes, Merida a 8 enero 1790, 8 junio 1790]"	Calderon 339		
E 		1			12 Apr 1790	12 Apr 1790	Restoration of Burnaby’s Code	Col Hunter restores ancient constitution	Old		Col Peter Hunter									"Hon Alm 1828
CO 123/9 [12 Apr 1790]"	Burdon 1 p184		
E 				Crs 4	1 Aug 1790			Superintendent orders provisions to allay scarcity	xxx									"Hunter orders Prov for c 2,000 inhabitants for 6 weeks"	New-York Daily Gazette 586 p1078				
E 		1			1 Sep 1790	30 Dec 1790	Rodríguez de Trujillo—Llovet inspection	"Capt Baltasar Rodríguez de Trujillo visits Hon as Sp Commissary, but is unable to finish, after which Rafael Llovet attempts to finish the inspection"	Old	Capt Baltasar Rodríguez de Trujillo / Rafael Llovet	Col Peter Hunter / Thomas Graham									"MEXICO,3023 [Galvez a Alange, Merida a 13 octubre 1790, 8 noviembre 1790, 16 diciembre 1790]
CO 123/9 [Graham, Journal of Visitation]"	"Calderon 342, 371"		
E 		1			24 Mar 1791	24 Mar 1791	Col Hunter departs	"Col Peter Hunter vacates Office of Sup, leaving Gov solely to Mags and Pub Mtg"	Old		Col Peter Hunter										Burdon 1 193		
E 				Crs 4	1 Apr 1791	30 May 1791		Spanish commissary destroys all cultivated spots and catched turtles of Settlement	Old	D. Rafael Llobet [Sp Commissioner]							Sp commissary destroyed all cultivated spots [plantain walks] / arrested all turtle fishers / [likely seized all turtles]			xxx			
E 		1			1 Sep 1791	8 Oct 1791	Llovet inspection	"Rafael Llovet inspects Hon as Sp Commissary, but is unable to do so on Col Hunter’s departure from Hon without having named a English Commissary"	Old	Rafael Llovet										"MEXICO,3024 [Galvez a Alenge en Merida a 8 oct 1791]"	"Calderon 348, 389"	"Galvez a Alange en Merida a 8 octubre 1791. ... Tal morosidad de parte del referido Governador [of Jam?] en responderme y proveer de Superintendente los establecimientos [Hon], me sugieren la vehemente presunción que sus designios se dirigen, cuando menos, a impedir se haga por el Comisario Español la visita prevenida en la Convención de 1786, logrando por consecuencia los colonos ingleses multiplicar sus infracciones tanto más, cuanto tarde el Comisario español, y como para impedir su ingreso estén prevenidos con la excusa de no haber sujeto autorizado por la Corte de Londres para nombrar al Comisario inglés que debe accompañar al español, resulta pues que con un pretexto, notoriamente frívolo, de que es causante el Gobierno británico, ... /v Calderon 389 /MEXICO,3024"	
E 		1			11 Oct 1791	11 Oct 1791	Pub Mtg disallows Obeah	"Imposing death sentence thereon, possibly marking first de jure restriction of rights or liberties of free coloured residents"	Old											Laws 1765–1810 [11 Oct 1791]	"Burdon 1 p195
Bolland 75 195"	"Possibly response to Saint Domingue revolt /v Bolland 75 195

In order to prevent the many mischiefs that may hereafter arise form the wicked art of Negroes going under the appellation of Obeah Men and Women, pretending to have communication with the Devil and other evil Spirits, whereby the weak and superstitious are deluded into a Belief of their having full power to exempt them whilst under their protection from any Evils that might otherwise happen; It is hereby RESOLVED that any free person of Colour or Slave, who shall hereafter pretend to any supernatural Power in order to affect the Health or Lives of others, or extorting Money or Effects under false pretences, or any way compassing the Life of any person by such means, or otherwise advising aiding or abeting any Slave or Slaves to depart their Masters Service, or shall harbour any runaway Slaves, or promote the purposes of Rebellion, shall upon conviction thereof, suffer Death or such other punishment as the Magistrates and Jury shall think proper to direct. /via Burdon 1 p195 /Laws 1765–1810"	
E 		1			15 Feb 1792	30 Jul 1792	Gual inspection	Juan Bautista Gual inspects Hon as Sp Commissary	"Old, Cayo Frixol, Black Creek, Spanish Creek"	Juan Bautista Gual										"MEXICO,3025 [Bargas a Alenge en Merida a 7 diciembre 1792]"	"Calderon 349, 389"	"Informe de Gual en Bacalar a 25 jul 1792. En el reconocimiento de la costa y cayos de Barlovento [bw Old and Bahía de la Ascensión], hallé entre estos, pescando fuera de límites, muchos súbditos ingleses a quienes decomisé la pesca, devolviéndoles sus buques y muebles y permitiéndoles regresar a los establecimientos apercibidos, con arreglo a las órdenes de que serían tratados con rigor en lo sucesivo ... Como para fines de Frebrero debía haber en la boca del Walix un Comisario Británico que me acompañase a la visita anterior de los establecimientos, ... pero encontrándome sin el Comisario, me pasé a Cayo Frixol, distante 3 leguas de dicha Boca a esperarlo. En el Cayo encontré un pescador establecido con su familia, y habiéndole hecho ver, que estaba cometiendo una infracción lo evacuó ... me trasladé el 15-3 a la Boca del Walix para practicar las diligencias que debían preceder al reconocimiento, y el 17 me informaron los Magistrados, que entre los papeles de Mr. Lorenze Meygham, que había fallecido a principios del mismo mes, habían encontrado un pliego de mi General para el de Jamaica, ... La operación de reconocer los huertas me proporcionó el ver perfectamente los establecimientos. En lo interior de ellos, no noté trangresión alguno de los que se recomiendan como graves en el Tratado ... y Convención ... Esto es obra de defensa u otras militares de artillería, o tropa, pero sí excesos en el cultivo, ... pero es de advertir, que dichos excesos son bastante depreciables para el que las vea; porque las huertas tan pretendidas no son otra cosa en lo general, que unos plantales, muchos de ellos mal cuidados, que tienen por objeto, no la delicadeza, sino el ahorro de víveres para los negros, pues no ví ni aun una lechuga en todos los establecimientos; bien que no por esto dejé de explicarme como debía, acerca de excederse en cuanto al terreno, y en lo tocante a las plantas de cultivo, considerando que cuando se tolera y disimula lo poco, lleguen los abusos a lo sumo; ... mi correspondencia con los Magistrados, aunque siempre los nombré con este título, fué solamente como unos sujetos particulares visibles; ... tuve el designio de no consentir en el sistema de policía que observan, por ser materia dudosa, aun entre ellos ... si S.M.B. puede, sin la anuencia de nuestro Soberano, disponer la observancia de dicho sistema ... En nlas riberas extra límites del Valis, su brazo y los esteros Black Crek y Spanish Crek, noté muchos y graves infracciones. Estas fueron el cultivo de varios pedazos de terreno, una considerable porción estraída de palo de Campeche y de mora, y como 700 árboles de caoba cortados, y sacados ... De éstos y de la cantidad de caoba extraída, no hubiera yo podido instruirme con toda exactitud, si no me hubiera auxiliado a ellos las noticias de habitantes fidedignos, las cuales no me fué difícil adquirir, porque el común de los habitantes detesta semejantes infracciones, y anhela el verlas remediadas, por lo que le dañan, haciendo descender el precio de la caoba con la excesiva abundancia a la mitad de lo que generalmente se considera necesario para que la corta sea útil a los cortadores. ... Los más de los pescadores de los establecimientos; hacen la pesca, especialmente la de la tortuga fuera de límites; entre los cayos que están al sur de los mismos establecimientos, y uno, y otro he oído que van a las islas inmediatas al Cabo Catoche ... No hay, como he dicho, en los establecimientos, obra alguno de defensa, ni el menos preparativo militar, pues de dos casas fuertes, que cuando yo salí para la visita, aún se dudaba si existían en la Boca de Jalova, no había en ésta ni señales de donde estuvieron, pero me hallo bien enterado de que el Oficial a quien se comisionó, para examinar el estado de las costas durante los últimos recelos de rompimiento, no padeció ni la más level equivocación en cuanto informó tocante a obras, a ejercicios militares, que quiso desfigurar el Sup Hunter; ... hay 9 Magistrados, de que bastan 3 para formar un cuerpo; transan las desavenencias civiles que ocurren entre los habitantes, y juzgan los delitos cometidos dentro de los límites, con autoridad de condenar a muerte, y hacer ejecutar la pena, fundando sus sentencias sobre las leyes generales de Inglaterra. Su oficio es anual, y se eligen los nuevos a principios de Mayo. Hay también otro cuerpo político que se titula el Gran Jury, y se compone de 12 habitantes juramentados cuya obligación es representar a los Magistrados en Juntas Generales, que se celebran cada 3 meses, todo lo que es necesario a favor del común. Así me explicó un Magistrado, persona de talento y verdad, dicho sistema. No hay Superintendente, ni esperan que la haya; .. /v Calderon 389 /MEXICO,3025"	
E 		1			31 Aug 1792	31 Aug 1792	Yarborough Grant	"James D. Yarborough, Esq., on request of Magistrates, grants portion of his lands for a new burial ground for Hon"	Old		James D. Yarborough									"GC F [31 Aug 1791, 31 Aug 1792]"	"Burdon 1 p194, 200"	"1791, August 31st. Quarterly Court with Grand Jury. Reprobation by Grand Jury of the indecent appearance of the Public Burial Ground and recommendation for obtaning from Captain Yarborough part of his plantation for a Public Burial Ground with provision of space for those not entitled to Church Rites. /via Burdon 1 p194 /GCF

1792, August 31st. Quarterly Court. ... recommended immediate opening of a new burial ground presented to the pubic by ames D. Yarborough Esq., and the closing of the old place of interment. /via Burdon 1 p200 /GCF"	
E 				Nat 3	1 Nov 1792	30 Nov 1792		Flooding at Belize Town	Old				many Neg perished				nearly all stock destroyed / Mah loss = c 2 million ft	river [Old likely] rising > 70 ft / inhabitants quit houses / reside on flats sev days	"The Times 2530 p3
True Briton (1793) 42 p4"				
E 		1			1 Mar 1793	30 Dec 1793	Alvarez inspection	Col José Alvarez inspects Hon as Sp Commissary	Old	Col José Alvarez	Capt Lawford									"MEXICO,3026 [Vargas a Alange en Merida a 12 abril 1793]"	Calderon 351	Inspection details not known /Calderon 351	
E 				Hos 11	1 Nov 1793	30 Nov 1793		"Indians raid Settlement, after which Baymen engage"	xxx	party of Indians	70 Baymen		1 inhabitant shot / later 4 Maya killed						Whitehall Evening Post (1770) 7135 p1				
E 		1			1 Mar 1794	1 Mar 1794	Penn Advertisement	"Magistrates resolve to run notice in print publications, rather than just by notice posted in Belize Town or St. George’s, of the death and estate of Dr. William Penn, possibly marking first printed, published public notice by Magistrates"	Old		George Moodie / Marshal Bennitt / Thomas Potts / Henry Jones / Peter Humphreys / Matthias Gale / J. D. Yarborough / Elisha Tyler / James Sullivan								Dunlap's American Daily Advertiser 4774 p3			Earlier instances possibly in print publications from Kingston or Spanish Town publishers / Though see London publications by Robert White eg White 1 Hon	
E 		1			5 Sep 1794	5 Sep 1794	High Constable appointed	"Likely first non-military, remunerated police force office, appointed to remove nuisances [from Belize Town] and report offenders, at salary = J £15 per quarter"	Old											"MM A1 [28 Aug, 5 Sep 1794]"	Burdon 1 p211		
E 		1			5 Sep 1794	5 Sep 1794	Public Treasury short of £500	"Current Public Treasurer directed to prosecute former one for £500, possibly first misuse or misappropriation of public funds"	Old											MM A1 [5 Sep 1794]	Burdon 1 211	5 Sep 1794. Quarterly Court. Public Treasurer directed to commence a Prosecution for £500 cash for a Settlement of the late Treasurer's accounts. /v Burdon 1 211 /MM A1	
E 		1			12 Sep 1794	12 Sep 1794	Public Treasury confirmed separate from Magistracy	"Possibly first public, remunerated office in government of Hon separate from Magistracy"	Old											MM A1 [5 Sep 1794]	Burdon 1 p211		
E 		1			1 Mar 1796	30 Aug 1796	O’Sullivan inspection	Juan O'Sullivan inspects Hon as Sp Commissary	Old	Juan O’Sullivan	James Bartlet / Thomas Pats [Potts?] / Cumming / Gerard Tilts Gilbert / James Gordon / Thomas Graham / Thomas Jackson / Edward Men / Mrs. Men / Thomas Paslow / Anderson / Barton									Fenix No 48—51 = 1849/06/25 ff	"Peniche 256, 377 ff
Calderon 352"	"En ellos [documentos de la visita] encontramos ... que los colonos [ingléses] abusaban del territorio que les estaba concedido, y dejaban de pagar los derechos por las licencias que obtanian [del comisario]. ... dice O'Sullivan que llamaban magistrados á algunos principales, que sin duda serian los mas ricos, estos mismos le dijeron, cuando los requirió para que obligasen á pagar á otros colonos que adeudaban de derechos [licences], que no tenian autoridad alguna sobre los demas. ... [O'Sullivan] apresó varias armas de fuego á los pescadores y aun les decomisó la pesca que habian hecho fuera de los límites concedidos al efecto, .../v Peniche 256, 377

[En Informe de O'Sullivan] se notaba la tendencia á independerse y aprovecharse del territorio como propio, burlando el pago de los derechos, debido á la falta de concurrencia del comisario inglés, ... /Peniche 879"	
E 				War 7	1 Nov 1796	30 Dec 1796		Sp surprise Fleet	xxx							2 schooners 1 sloop				CO 137/98 [17 Jan 1797]	Burdon 1 p225		
E 		1			7 Dec 1796	7 Dec 1796	Lt. Col. Thomas Barrow appointed Superintendent	"By Gov of Jam, apparently without specific instructions from Whitehall, on receiving complaints from Spanish Commissary Juan O’Sullivan regarding disorderly state of Settlement, and discourtesy of Lt. James Guerin of a corvette then in Bay"	"Jamaica, Old"		Gov of Jam Lord Balcarres / Lt. Col. Thomas Barrow									"CO 137/98 [7, 8 Dec 1796, 20, 24 Feb 1797]"	Burdon 1 p222		
E 		1			30 May 1797	30 May 1797	Thomas Graham protests Court of Auditors	"Graham charged with clandestinely cutting mahogany and using finesse and deception, to face court of enquiry of 13 at first, which is then changed to 5, on which Graham protests"	Old		Thomas Graham	Court of Auditors / DAG Thomas Murray / Commander in Chief Thomas Barrow								"ML A [30, 31 May, 2 Jun 1797]"	Burdon 1 p228	"Apparently Public Meeting had previously acceded to a court of five auditors, perhaps while under martial law /via Burdon 1 p230 /MMA 2 [1 Jun 1797]"	
E 				War 7	1 Jul 1797	30 Jul 1797	Raid of Trujillo	"English frigate, possibly of or with Baymen, raid Trujillo"	Trujillo		1 Frig								Spectator NY I 2 p3			"Arrived, ship Elizabeth, Capt. Edes, fromt he bay of Honduras, last from Charleston, 53 days passage--informs that on the latter end of July [1797], an English frigate landed a number of men at Truckillia, in the bay of Campeachy, with a view of plundering. They carried of a quantity of live stock, and afterwards returned in order to plunder the treasury, which they would probably have affected had not the chast containing hte money proved too heavy. They made attemps to break it in pieces with crowbards, but could not succeed. They were at length driven off by the inhabitants with some loss who attacked them in considerable force. /Spectator NY I 2"	
E 				Ill 5	29 Sep 1797	30 Dec 1797		Outbreak of yellow fever spreads among 2nd Regiment of Irish Brigade sent from Jamaica	"Port Royal, Old"				23 men die within weeks of arrival							"Cmd. 7533 p224
CO 137/99 [2, 12 Oct 1797]
CO 137/98 [31 Aug 1797]"	"Elliott 246
Burdon 1 p237"	"Possibly died en route rather than in port -- 1797, October 9th. Superintendent Barrow to Gov Balcarres. ... 23 of the Irish Brigade died of yellow fever on the voyage /Burdon 1 p238 /CO 137/99, though by 12 Oct 1797, 65 of the Irish Brigade are sick at port [of 210 who embarked at Jam for Hon]"	
E 		1			19 Jan 1798	19 Jan 1798	Public Treasury short of £150	"Possibly first misuse or misappropriation of public funds, by Public Treasurer’s retaining [J ?] £150 out of Treasury funds on account of the same amount’s being stolen from him "	Old											MM A2 [19 Jan 1798]	Burdon 1 p243	"1798, January 19th. Public Meetnig, 38 present. ... Resolved that a summons be issued against the Public Treasurer for £150, being a deficiency in his credits, withheld by him as a reimbursement for that amount stolen from him. /via Burdon 1 p243 /MMA 2

1799, August 29th. Magistrates' Meeting. ... Treasurer directed to give the Police Magistrate a statement of the funds on the first Monday of each month. /via Burdon 1 p273 /MMA 2"	
